powiat_code,powiat_name,year,area_km2
201000,Powiat bolesławiecki,2013,1304
201000,Powiat bolesławiecki,2014,1304
201000,Powiat bolesławiecki,2015,1304
201000,Powiat bolesławiecki,2016,1304
201000,Powiat bolesławiecki,2017,1304
201000,Powiat bolesławiecki,2018,1304
201000,Powiat bolesławiecki,2019,1304
201000,Powiat bolesławiecki,2020,1304
201000,Powiat bolesławiecki,2021,1304
201000,Powiat bolesławiecki,2022,1303
201000,Powiat bolesławiecki,2023,1303
201000,Powiat bolesławiecki,2024,1303
202000,Powiat dzierżoniowski,2013,479
202000,Powiat dzierżoniowski,2014,479
202000,Powiat dzierżoniowski,2015,479
202000,Powiat dzierżoniowski,2016,479
202000,Powiat dzierżoniowski,2017,479
202000,Powiat dzierżoniowski,2018,479
202000,Powiat dzierżoniowski,2019,479
202000,Powiat dzierżoniowski,2020,479
202000,Powiat dzierżoniowski,2021,479
202000,Powiat dzierżoniowski,2022,479
202000,Powiat dzierżoniowski,2023,479
202000,Powiat dzierżoniowski,2024,479
203000,Powiat głogowski,2013,443
203000,Powiat głogowski,2014,443
203000,Powiat głogowski,2015,443
203000,Powiat głogowski,2016,443
203000,Powiat głogowski,2017,443
203000,Powiat głogowski,2018,443
203000,Powiat głogowski,2019,443
203000,Powiat głogowski,2020,443
203000,Powiat głogowski,2021,443
203000,Powiat głogowski,2022,443
203000,Powiat głogowski,2023,443
203000,Powiat głogowski,2024,443
204000,Powiat górowski,2013,738
204000,Powiat górowski,2014,738
204000,Powiat górowski,2015,738
204000,Powiat górowski,2016,738
204000,Powiat górowski,2017,738
204000,Powiat górowski,2018,738
204000,Powiat górowski,2019,738
204000,Powiat górowski,2020,738
204000,Powiat górowski,2021,738
204000,Powiat górowski,2022,738
204000,Powiat górowski,2023,738
204000,Powiat górowski,2024,738
205000,Powiat jaworski,2013,582
205000,Powiat jaworski,2014,582
205000,Powiat jaworski,2015,582
205000,Powiat jaworski,2016,582
205000,Powiat jaworski,2017,582
205000,Powiat jaworski,2018,582
205000,Powiat jaworski,2019,582
205000,Powiat jaworski,2020,582
205000,Powiat jaworski,2021,582
205000,Powiat jaworski,2022,581
205000,Powiat jaworski,2023,581
205000,Powiat jaworski,2024,581
206000,Powiat karkonoski,2013,627
206000,Powiat karkonoski,2014,627
206000,Powiat karkonoski,2015,627
206000,Powiat karkonoski,2016,627
206000,Powiat karkonoski,2017,627
206000,Powiat karkonoski,2018,627
206000,Powiat karkonoski,2019,627
206000,Powiat karkonoski,2020,627
206000,Powiat karkonoski,2021,627
206000,Powiat karkonoski,2022,627
206000,Powiat karkonoski,2023,627
206000,Powiat karkonoski,2024,627
207000,Powiat kamiennogórski,2013,396
207000,Powiat kamiennogórski,2014,396
207000,Powiat kamiennogórski,2015,396
207000,Powiat kamiennogórski,2016,396
207000,Powiat kamiennogórski,2017,396
207000,Powiat kamiennogórski,2018,396
207000,Powiat kamiennogórski,2019,396
207000,Powiat kamiennogórski,2020,396
207000,Powiat kamiennogórski,2021,396
207000,Powiat kamiennogórski,2022,396
207000,Powiat kamiennogórski,2023,396
207000,Powiat kamiennogórski,2024,396
208000,Powiat kłodzki,2013,1642
208000,Powiat kłodzki,2014,1642
208000,Powiat kłodzki,2015,1642
208000,Powiat kłodzki,2016,1642
208000,Powiat kłodzki,2017,1642
208000,Powiat kłodzki,2018,1642
208000,Powiat kłodzki,2019,1642
208000,Powiat kłodzki,2020,1642
208000,Powiat kłodzki,2021,1642
208000,Powiat kłodzki,2022,1643
208000,Powiat kłodzki,2023,1643
208000,Powiat kłodzki,2024,1643
209000,Powiat legnicki,2013,744
209000,Powiat legnicki,2014,744
209000,Powiat legnicki,2015,744
209000,Powiat legnicki,2016,744
209000,Powiat legnicki,2017,744
209000,Powiat legnicki,2018,744
209000,Powiat legnicki,2019,744
209000,Powiat legnicki,2020,744
209000,Powiat legnicki,2021,744
209000,Powiat legnicki,2022,744
209000,Powiat legnicki,2023,744
209000,Powiat legnicki,2024,744
210000,Powiat lubański,2013,428
210000,Powiat lubański,2014,428
210000,Powiat lubański,2015,428
210000,Powiat lubański,2016,428
210000,Powiat lubański,2017,428
210000,Powiat lubański,2018,428
210000,Powiat lubański,2019,428
210000,Powiat lubański,2020,428
210000,Powiat lubański,2021,428
210000,Powiat lubański,2022,428
210000,Powiat lubański,2023,428
210000,Powiat lubański,2024,428
211000,Powiat lubiński,2013,712
211000,Powiat lubiński,2014,712
211000,Powiat lubiński,2015,712
211000,Powiat lubiński,2016,712
211000,Powiat lubiński,2017,712
211000,Powiat lubiński,2018,712
211000,Powiat lubiński,2019,712
211000,Powiat lubiński,2020,712
211000,Powiat lubiński,2021,712
211000,Powiat lubiński,2022,712
211000,Powiat lubiński,2023,712
211000,Powiat lubiński,2024,712
212000,Powiat lwówecki,2013,710
212000,Powiat lwówecki,2014,710
212000,Powiat lwówecki,2015,710
212000,Powiat lwówecki,2016,710
212000,Powiat lwówecki,2017,710
212000,Powiat lwówecki,2018,710
212000,Powiat lwówecki,2019,710
212000,Powiat lwówecki,2020,710
212000,Powiat lwówecki,2021,710
212000,Powiat lwówecki,2022,710
212000,Powiat lwówecki,2023,710
212000,Powiat lwówecki,2024,710
213000,Powiat milicki,2013,715
213000,Powiat milicki,2014,715
213000,Powiat milicki,2015,715
213000,Powiat milicki,2016,715
213000,Powiat milicki,2017,715
213000,Powiat milicki,2018,715
213000,Powiat milicki,2019,715
213000,Powiat milicki,2020,715
213000,Powiat milicki,2021,715
213000,Powiat milicki,2022,715
213000,Powiat milicki,2023,715
213000,Powiat milicki,2024,715
214000,Powiat oleśnicki,2013,1049
214000,Powiat oleśnicki,2014,1049
214000,Powiat oleśnicki,2015,1049
214000,Powiat oleśnicki,2016,1049
214000,Powiat oleśnicki,2017,1049
214000,Powiat oleśnicki,2018,1049
214000,Powiat oleśnicki,2019,1049
214000,Powiat oleśnicki,2020,1049
214000,Powiat oleśnicki,2021,1049
214000,Powiat oleśnicki,2022,1049
214000,Powiat oleśnicki,2023,1049
214000,Powiat oleśnicki,2024,1049
215000,Powiat oławski,2013,524
215000,Powiat oławski,2014,524
215000,Powiat oławski,2015,524
215000,Powiat oławski,2016,524
215000,Powiat oławski,2017,524
215000,Powiat oławski,2018,524
215000,Powiat oławski,2019,524
215000,Powiat oławski,2020,524
215000,Powiat oławski,2021,524
215000,Powiat oławski,2022,524
215000,Powiat oławski,2023,524
215000,Powiat oławski,2024,524
216000,Powiat polkowicki,2013,779
216000,Powiat polkowicki,2014,779
216000,Powiat polkowicki,2015,779
216000,Powiat polkowicki,2016,779
216000,Powiat polkowicki,2017,779
216000,Powiat polkowicki,2018,779
216000,Powiat polkowicki,2019,779
216000,Powiat polkowicki,2020,779
216000,Powiat polkowicki,2021,779
216000,Powiat polkowicki,2022,780
216000,Powiat polkowicki,2023,780
216000,Powiat polkowicki,2024,780
217000,Powiat strzeliński,2013,622
217000,Powiat strzeliński,2014,622
217000,Powiat strzeliński,2015,622
217000,Powiat strzeliński,2016,622
217000,Powiat strzeliński,2017,622
217000,Powiat strzeliński,2018,622
217000,Powiat strzeliński,2019,622
217000,Powiat strzeliński,2020,622
217000,Powiat strzeliński,2021,622
217000,Powiat strzeliński,2022,622
217000,Powiat strzeliński,2023,622
217000,Powiat strzeliński,2024,622
218000,Powiat średzki,2013,704
218000,Powiat średzki,2014,704
218000,Powiat średzki,2015,704
218000,Powiat średzki,2016,704
218000,Powiat średzki,2017,704
218000,Powiat średzki,2018,704
218000,Powiat średzki,2019,704
218000,Powiat średzki,2020,704
218000,Powiat średzki,2021,704
218000,Powiat średzki,2022,704
218000,Powiat średzki,2023,704
218000,Powiat średzki,2024,704
219000,Powiat świdnicki,2013,741
219000,Powiat świdnicki,2014,741
219000,Powiat świdnicki,2015,741
219000,Powiat świdnicki,2016,741
219000,Powiat świdnicki,2017,741
219000,Powiat świdnicki,2018,741
219000,Powiat świdnicki,2019,741
219000,Powiat świdnicki,2020,741
219000,Powiat świdnicki,2021,741
219000,Powiat świdnicki,2022,741
219000,Powiat świdnicki,2023,741
219000,Powiat świdnicki,2024,741
220000,Powiat trzebnicki,2013,1025
220000,Powiat trzebnicki,2014,1025
220000,Powiat trzebnicki,2015,1025
220000,Powiat trzebnicki,2016,1025
220000,Powiat trzebnicki,2017,1025
220000,Powiat trzebnicki,2018,1025
220000,Powiat trzebnicki,2019,1025
220000,Powiat trzebnicki,2020,1025
220000,Powiat trzebnicki,2021,1025
220000,Powiat trzebnicki,2022,1025
220000,Powiat trzebnicki,2023,1025
220000,Powiat trzebnicki,2024,1025
221000,Powiat wałbrzyski,2013,430
221000,Powiat wałbrzyski,2014,430
221000,Powiat wałbrzyski,2015,430
221000,Powiat wałbrzyski,2016,430
221000,Powiat wałbrzyski,2017,430
221000,Powiat wałbrzyski,2018,430
221000,Powiat wałbrzyski,2019,430
221000,Powiat wałbrzyski,2020,430
221000,Powiat wałbrzyski,2021,430
221000,Powiat wałbrzyski,2022,430
221000,Powiat wałbrzyski,2023,430
221000,Powiat wałbrzyski,2024,430
222000,Powiat wołowski,2013,675
222000,Powiat wołowski,2014,675
222000,Powiat wołowski,2015,675
222000,Powiat wołowski,2016,675
222000,Powiat wołowski,2017,675
222000,Powiat wołowski,2018,675
222000,Powiat wołowski,2019,675
222000,Powiat wołowski,2020,675
222000,Powiat wołowski,2021,675
222000,Powiat wołowski,2022,675
222000,Powiat wołowski,2023,675
222000,Powiat wołowski,2024,675
223000,Powiat wrocławski,2013,1118
223000,Powiat wrocławski,2014,1118
223000,Powiat wrocławski,2015,1118
223000,Powiat wrocławski,2016,1118
223000,Powiat wrocławski,2017,1118
223000,Powiat wrocławski,2018,1118
223000,Powiat wrocławski,2019,1118
223000,Powiat wrocławski,2020,1118
223000,Powiat wrocławski,2021,1118
223000,Powiat wrocławski,2022,1118
223000,Powiat wrocławski,2023,1118
223000,Powiat wrocławski,2024,1118
224000,Powiat ząbkowicki,2013,802
224000,Powiat ząbkowicki,2014,802
224000,Powiat ząbkowicki,2015,802
224000,Powiat ząbkowicki,2016,802
224000,Powiat ząbkowicki,2017,802
224000,Powiat ząbkowicki,2018,802
224000,Powiat ząbkowicki,2019,802
224000,Powiat ząbkowicki,2020,802
