powiat_code,powiat_name,area_min,area_max,area_mean,area_std,area_changed
201000,Powiat bolesławiecki,1303,1304,1303.75,0.45226701686670817,True
202000,Powiat dzierżoniowski,479,479,479.0,0.0,False
203000,Powiat głogowski,443,443,443.0,0.0,False
204000,Powiat górowski,738,738,738.0,0.0,False
205000,Powiat jaworski,581,582,581.75,0.45226701686663096,True
206000,Powiat karkonoski,627,627,627.0,0.0,False
207000,Powiat kamiennogórski,396,396,396.0,0.0,False
208000,Powiat kłodzki,1642,1643,1642.25,0.45226701686670817,True
209000,Powiat legnicki,744,744,744.0,0.0,False
210000,Powiat lubański,428,428,428.0,0.0,False
211000,Powiat lubiński,712,712,712.0,0.0,False
212000,Powiat lwówecki,710,710,710.0,0.0,False
213000,Powiat milicki,715,715,715.0,0.0,False
214000,Powiat oleśnicki,1049,1049,1049.0,0.0,False
215000,Powiat oławski,524,524,524.0,0.0,False
216000,Powiat polkowicki,779,780,779.25,0.45226701686663096,True
217000,Powiat strzeliński,622,622,622.0,0.0,False
218000,Powiat średzki,704,704,704.0,0.0,False
219000,Powiat świdnicki,741,741,741.0,0.0,False
220000,Powiat trzebnicki,1025,1025,1025.0,0.0,False
221000,Powiat wałbrzyski,430,430,430.0,0.0,False
222000,Powiat wołowski,675,675,675.0,0.0,False
223000,Powiat wrocławski,1118,1118,1118.0,0.0,False
224000,Powiat ząbkowicki,802,802,802.0,0.0,False
225000,Powiat zgorzelecki,839,839,839.0,0.0,False
226000,Powiat złotoryjski,576,576,576.0,0.0,False
261000,Powiat m. Jelenia Góra,109,109,109.0,0.0,False
262000,Powiat m. Legnica,56,56,56.0,0.0,False
264000,Powiat m. Wrocław,293,293,293.0,0.0,False
265000,Powiat m. Wałbrzych od 2013,85,85,85.0,0.0,False
401000,Powiat aleksandrowski,475,475,475.0,0.0,False
402000,Powiat brodnicki,1040,1040,1040.0,0.0,False
403000,Powiat bydgoski,1394,1395,1394.5,0.5222329678671503,True
404000,Powiat chełmiński,527,527,527.0,0.0,False
405000,Powiat golubsko-dobrzyński,613,613,613.0,0.0,False
406000,Powiat grudziądzki,728,729,728.25,0.45226701686663096,True
407000,Powiat inowrocławski,1225,1225,1225.0,0.0,False
408000,Powiat lipnowski,1016,1017,1016.0833333333334,0.28867513459481103,True
409000,Powiat mogileński,675,675,675.0,0.0,False
410000,Powiat nakielski,1120,1120,1120.0,0.0,False
411000,Powiat radziejowski,607,607,607.0,0.0,False
412000,Powiat rypiński,586,587,586.25,0.45226701686663096,True
413000,Powiat sępoleński,791,791,791.0,0.0,False
414000,Powiat świecki,1474,1474,1474.0,0.0,False
415000,Powiat toruński,1230,1230,1230.0,0.0,False
416000,Powiat tucholski,1075,1075,1075.0,0.0,False
417000,Powiat wąbrzeski,501,502,501.75,0.45226701686664045,True
418000,Powiat włocławski,1472,1474,1473.4166666666667,0.900336637378513,True
419000,Powiat żniński,985,985,985.0,0.0,False
461000,Powiat m. Bydgoszcz,176,176,176.0,0.0,False
462000,Powiat m. Grudziądz,58,58,58.0,0.0,False
463000,Powiat m. Toruń,116,116,116.0,0.0,False
464000,Powiat m. Włocławek,84,85,84.33333333333333,0.4923659639173283,True
601000,Powiat bialski,2754,2755,2754.5,0.5222329678670324,True
602000,Powiat biłgorajski,1681,1681,1681.0,0.0,False
603000,Powiat chełmski,1881,1887,1885.6666666666667,2.229281716090908,True
604000,Powiat hrubieszowski,1268,1270,1268.5,0.9045340337332619,True
605000,Powiat janowski,875,876,875.4166666666666,0.5149286505444398,True
606000,Powiat krasnostawski,1031,1032,1031.5,0.5222329678671503,True
607000,Powiat kraśnicki,1005,1005,1005.0,0.0,False
608000,Powiat lubartowski,1289,1289,1289.0,0.0,False
609000,Powiat lubelski,1680,1680,1680.0,0.0,False
610000,Powiat łęczyński,637,637,637.0,0.0,False
611000,Powiat łukowski,1394,1394,1394.0,0.0,False
612000,Powiat opolski,810,811,810.25,0.45226701686663096,True
613000,Powiat parczewski,952,952,952.0,0.0,False
614000,Powiat puławski,934,934,934.0,0.0,False
615000,Powiat radzyński,965,965,965.0,0.0,False
616000,Powiat rycki,614,615,614.75,0.45226701686663096,True
617000,Powiat świdnicki,468,468,468.0,0.0,False
618000,Powiat tomaszowski,1487,1489,1488.5,0.9045340337332619,True
619000,Powiat włodawski,1256,1256,1256.0,0.0,False
620000,Powiat zamojski,1870,1870,1870.0,0.0,False
661000,Powiat m. Biała Podlaska,49,49,49.0,0.0,False
662000,Powiat m. Chełm,35,40,35.833333333333336,1.9462473604038082,True
663000,Powiat m. Lublin,147,148,147.33333333333334,0.4923659639173313,True
664000,Powiat m. Zamość,30,30,30.0,0.0,False
801000,Powiat gorzowski,1214,1214,1214.0,0.0,False
802000,Powiat krośnieński,1390,1391,1390.75,0.45226701686670817,True
803000,Powiat międzyrzecki,1388,1388,1388.0,0.0,False
804000,Powiat nowosolski,771,774,771.25,0.8660254037844386,True
805000,Powiat słubicki,999,999,999.0,0.0,False
806000,Powiat strzelecko-drezdenecki,1248,1248,1248.0,0.0,False
807000,Powiat sulęciński,1178,1178,1178.0,0.0,False
808000,Powiat świebodziński,937,937,937.0,0.0,False
809000,Powiat zielonogórski,1350,1569,1386.75,85.12998083145348,True
810000,Powiat żagański,1131,1132,1131.75,0.45226701686670817,True
811000,Powiat żarski,1393,1393,1393.0,0.0,False
812000,Powiat wschowski,624,624,624.0,0.0,False
861000,Powiat m. Gorzów Wielkopolski,86,86,86.0,0.0,False
862000,Powiat m. Zielona Góra,58,278,240.5,85.24883363638259,True
1001000,Powiat bełchatowski,968,968,968.0,0.0,False
1002000,Powiat kutnowski,887,887,887.0,0.0,False
1003000,Powiat łaski,618,618,618.0,0.0,False
1004000,Powiat łęczycki,773,773,773.0,0.0,False
1005000,Powiat łowicki,988,988,988.0,0.0,False
1006000,Powiat łódzki wschodni,500,500,500.0,0.0,False
1007000,Powiat opoczyński,1040,1040,1040.0,0.0,False
1008000,Powiat pabianicki,492,492,492.0,0.0,False
1009000,Powiat pajęczański,804,804,804.0,0.0,False
1010000,Powiat piotrkowski,1428,1429,1428.9166666666667,0.2886751345948224,True
1011000,Powiat poddębicki,881,881,881.0,0.0,False
1012000,Powiat radomszczański,1443,1443,1443.0,0.0,False
1013000,Powiat rawski,646,646,646.0,0.0,False
1014000,Powiat sieradzki,1491,1491,1491.0,0.0,False
1015000,Powiat skierniewicki,753,753,753.0,0.0,False
1016000,Powiat tomaszowski,1025,1025,1025.0,0.0,False
1017000,Powiat wieluński,926,926,926.0,0.0,False
1018000,Powiat wieruszowski,577,577,577.0,0.0,False
1019000,Powiat zduńskowolski,369,369,369.0,0.0,False
1020000,Powiat zgierski,855,855,855.0,0.0,False
1021000,Powiat brzeziński,359,359,359.0,0.0,False
1061000,Powiat m. Łódź,293,293,293.0,0.0,False
1062000,Powiat m. Piotrków Trybunalski,67,67,67.0,0.0,False
1063000,Powiat m. Skierniewice,35,35,35.0,0.0,False
1201000,Powiat bocheński,649,649,649.0,0.0,False
1202000,Powiat brzeski,591,591,591.0,0.0,False
1203000,Powiat chrzanowski,370,372,370.6666666666667,0.9847319278346778,True
1204000,Powiat dąbrowski,530,530,530.0,0.0,False
1205000,Powiat gorlicki,966,966,966.0,0.0,False
1206000,Powiat krakowski,1230,1231,1230.75,0.45226701686670817,True
1207000,Powiat limanowski,951,951,951.0,0.0,False
1208000,Powiat miechowski,676,676,676.0,0.0,False
1209000,Powiat myślenicki,673,673,673.0,0.0,False
1210000,Powiat nowosądecki,1549,1550,1549.25,0.45226701686670817,True
1211000,Powiat nowotarski,1474,1475,1474.25,0.45226701686670817,True
1212000,Powiat olkuski,618,618,618.0,0.0,False
1213000,Powiat oświęcimski,406,406,406.0,0.0,False
1214000,Powiat proszowicki,415,415,415.0,0.0,False
1215000,Powiat suski,686,686,686.0,0.0,False
1216000,Powiat tarnowski,1412,1412,1412.0,0.0,False
1217000,Powiat tatrzański,472,472,472.0,0.0,False
1218000,Powiat wadowicki,644,646,645.3333333333334,0.9847319278347264,True
1219000,Powiat wielicki,411,411,411.0,0.0,False
1261000,Powiat m. Kraków,327,327,327.0,0.0,False
1262000,Powiat m. Nowy Sącz,58,58,58.0,0.0,False
1263000,Powiat m. Tarnów,72,72,72.0,0.0,False
1401000,Powiat białobrzeski,639,639,639.0,0.0,False
1402000,Powiat ciechanowski,1060,1060,1060.0,0.0,False
1403000,Powiat garwoliński,1285,1285,1285.0,0.0,False
1404000,Powiat gostyniński,615,615,615.0,0.0,False
1405000,Powiat grodziski,367,367,367.0,0.0,False
1406000,Powiat grójecki,1268,1268,1268.0,0.0,False
1407000,Powiat kozienicki,916,916,916.0,0.0,False
1408000,Powiat legionowski,390,391,390.5,0.5222329678670958,True
1409000,Powiat lipski,740,740,740.0,0.0,False
1410000,Powiat łosicki,772,772,772.0,0.0,False
1411000,Powiat makowski,1065,1065,1065.0,0.0,False
1412000,Powiat miński,1164,1164,1164.0,0.0,False
1413000,Powiat mławski,1182,1182,1182.0,0.0,False
1414000,Powiat nowodworski,695,695,695.0,0.0,False
1415000,Powiat ostrołęcki,2092,2097,2094.5833333333335,2.151461800448248,True
1416000,Powiat ostrowski,1218,1218,1218.0,0.0,False
1417000,Powiat otwocki,616,616,616.0,0.0,False
1418000,Powiat piaseczyński,621,621,621.0,0.0,False
1419000,Powiat płocki,1796,1797,1796.25,0.45226701686670817,True
1420000,Powiat płoński,1380,1380,1380.0,0.0,False
1421000,Powiat pruszkowski,246,246,246.0,0.0,False
1422000,Powiat przasnyski,1219,1219,1219.0,0.0,False
1423000,Powiat przysuski,801,802,801.1666666666666,0.3892494720807468,True
1424000,Powiat pułtuski,827,827,827.0,0.0,False
1425000,Powiat radomski,1530,1530,1530.0,0.0,False
1426000,Powiat siedlecki,1603,1603,1603.0,0.0,False
1427000,Powiat sierpecki,852,852,852.0,0.0,False
1428000,Powiat sochaczewski,735,735,735.0,0.0,False
1429000,Powiat sokołowski,1131,1131,1131.0,0.0,False
1430000,Powiat szydłowiecki,452,452,452.0,0.0,False
1432000,Powiat warszawski zachodni,534,534,534.0,0.0,False
1433000,Powiat węgrowski,1220,1221,1220.75,0.45226701686670817,True
1434000,Powiat wołomiński,954,954,954.0,0.0,False
1435000,Powiat wyszkowski,876,877,876.25,0.45226701686663096,True
1436000,Powiat zwoleński,573,573,573.0,0.0,False
1437000,Powiat żuromiński,806,807,806.8333333333334,0.3892494720807468,True
1438000,Powiat żyrardowski,532,533,532.75,0.45226701686663096,True
1461000,Powiat m. Ostrołęka,29,34,31.416666666666668,2.151461800448216,True
1462000,Powiat m. Płock,88,88,88.0,0.0,False
1463000,Powiat m. Radom,112,112,112.0,0.0,False
1464000,Powiat m. Siedlce,32,32,32.0,0.0,False
1465000,Powiat m. st. Warszawa,517,517,517.0,0.0,False
1601000,Powiat brzeski,876,876,876.0,0.0,False
1602000,Powiat głubczycki,673,673,673.0,0.0,False
1603000,Powiat kędzierzyńsko-kozielski,625,625,625.0,0.0,False
1604000,Powiat kluczborski,852,852,852.0,0.0,False
1605000,Powiat krapkowicki,442,442,442.0,0.0,False
1606000,Powiat namysłowski,748,748,748.0,0.0,False
1607000,Powiat nyski,1224,1224,1224.0,0.0,False
1608000,Powiat oleski,973,973,973.0,0.0,False
1609000,Powiat opolski,1534,1586,1551.3333333333333,25.603030123701082,True
1610000,Powiat prudnicki,571,572,571.75,0.45226701686663096,True
1611000,Powiat strzelecki,744,744,744.0,0.0,False
1661000,Powiat m. Opole,97,149,131.66666666666666,25.60303012370121,True
1801000,Powiat bieszczadzki,1139,1139,1139.0,0.0,False
1802000,Powiat brzozowski,539,539,539.0,0.0,False
1803000,Powiat dębicki,777,777,777.0,0.0,False
1804000,Powiat jarosławski,1029,1029,1029.0,0.0,False
1805000,Powiat jasielski,831,831,831.0,0.0,False
1806000,Powiat kolbuszowski,773,774,773.75,0.45226701686663096,True
1807000,Powiat krośnieński,926,993,970.3333333333334,32.74511298258758,True
1808000,Powiat leżajski,583,584,583.6666666666666,0.49236596391731874,True
1809000,Powiat lubaczowski,1308,1308,1308.0,0.0,False
1810000,Powiat łańcucki,452,452,452.0,0.0,False
