powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct,unemployment_rate,wage_index,unemployment_category,wage_category,social_risk_score
200000,DOLNOŚLĄSKIE,2024,123608.0,,,,,,,,,,,,,,,,,,,,,4.6,102.7,very_low,high,-2.3524987279772374
201000,Powiat bolesławiecki,2024,5482.0,87255.0,1303.0,66.96,42244.0,45011.0,93.85,13335.0,26699.0,22844.0,-387.0,-0.44,6282.73,62.83,0.1528,0.306,0.2618,rural,large,896.04,16.63,3.1,91.2,very_low,medium_high,-1.6100262866210844
202000,Powiat dzierżoniowski,2024,2663.0,93863.0,479.0,195.96,44496.0,49367.0,90.13,12763.0,27888.0,26141.0,-877.0,-0.93,2837.11,28.37,0.136,0.2971,0.2785,suburban,large,-471.9499999999998,-14.26,6.1,86.1,low,medium_low,-0.6069472246253602
203000,Powiat głogowski,2024,5633.0,84387.0,443.0,190.49,40823.0,43564.0,93.71,13021.0,25499.0,21205.0,-656.0,-0.77,6675.2,66.75,0.1543,0.3022,0.2513,suburban,large,1342.5999999999997,25.18,6.6,90.0,low,medium_low,-0.8603408235701946
204000,Powiat górowski,2024,1346.0,32054.0,738.0,43.43,15861.0,16193.0,97.95,5443.0,9125.0,8681.0,-405.0,-1.25,4199.16,41.99,0.1698,0.2847,0.2708,rural,medium,-341.9499999999998,-7.53,14.3,85.1,medium,medium_low,0.9890716120471068
205000,Powiat jaworski,2024,1414.0,46822.0,581.0,80.59,22913.0,23909.0,95.83,6949.0,13935.0,12966.0,-391.0,-0.83,3019.95,30.2,0.1484,0.2976,0.2769,rural,medium,-828.5700000000002,-21.53,9.8,93.0,low,medium_high,-0.5376824252944153
206000,Powiat karkonoski,2024,2740.0,59864.0,627.0,95.48,28854.0,31010.0,93.05,8632.0,18042.0,17124.0,-574.0,-0.95,4577.04,45.77,0.1442,0.3014,0.286,rural,medium,640.77,16.28,8.5,83.9,low,medium_low,0.02905748347473755
207000,Powiat kamiennogórski,2024,1214.0,39875.0,396.0,100.69,19396.0,20479.0,94.71,6155.0,11719.0,11206.0,-444.0,-1.1,3044.51,30.45,0.1544,0.2939,0.281,suburban,medium,-789.9099999999999,-20.6,7.4,83.0,low,medium_low,-0.09347744921522744
208000,Powiat kłodzki,2024,5022.0,145243.0,1643.0,88.4,69808.0,75435.0,92.54,20216.0,42819.0,40842.0,-1709.0,-1.16,3457.65,34.58,0.1392,0.2948,0.2812,rural,very_large,59.940000000000055,1.76,12.7,87.9,medium,medium_low,0.4470127701247133
209000,Powiat legnicki,2024,2346.0,54967.0,744.0,73.88,26882.0,28085.0,95.72,8434.0,16649.0,14632.0,-65.0,-0.12,4268.02,42.68,0.1534,0.3029,0.2662,rural,medium,690.1000000000004,19.29,7.0,88.6,low,medium_low,-0.6628468689153746
210000,Powiat lubański,2024,2372.0,50909.0,428.0,118.95,24611.0,26298.0,93.59,7708.0,15191.0,13822.0,-501.0,-0.97,4659.29,46.59,0.1514,0.2984,0.2715,suburban,medium,-880.4899999999998,-15.89,7.1,83.9,low,medium_low,-0.2283166485975809
211000,Powiat lubiński,2024,4586.0,102376.0,712.0,143.79,49109.0,53267.0,92.19,14612.0,30792.0,26179.0,-496.0,-0.48,4479.57,44.8,0.1427,0.3008,0.2557,suburban,very_large,-325.4300000000003,-6.77,4.0,158.4,very_low,high,-7.394578928156989
