region_code,region_name,year,crime_category,value
200000,DOLNOŚLĄSKIE,2013,criminal,57.4
200000,DOLNOŚLĄSKIE,2013,economic,88.2
200000,DOLNOŚLĄSKIE,2013,family,99.6
200000,DOLNOŚLĄSKIE,2013,freedom_sexual,94.7
200000,DOLNOŚLĄSKIE,2013,life_health,85.8
200000,DOLNOŚLĄSKIE,2013,property,50.0
200000,DOLNOŚLĄSKIE,2013,public_safety,98.7
200000,DOLNOŚLĄSKIE,2013,total,67.0
200000,DOLNOŚLĄSKIE,2013,traffic,99.0
200000,DOLNOŚLĄSKIE,2014,criminal,51.5
200000,DOLNOŚLĄSKIE,2014,economic,84.7
200000,DOLNOŚLĄSKIE,2014,family,99.3
200000,DOLNOŚLĄSKIE,2014,freedom_sexual,89.2
200000,DOLNOŚLĄSKIE,2014,life_health,83.4
200000,DOLNOŚLĄSKIE,2014,property,44.5
200000,DOLNOŚLĄSKIE,2014,public_safety,98.2
200000,DOLNOŚLĄSKIE,2014,total,61.6
200000,DOLNOŚLĄSKIE,2014,traffic,99.0
200000,DOLNOŚLĄSKIE,2015,criminal,50.3
200000,DOLNOŚLĄSKIE,2015,economic,81.1
200000,DOLNOŚLĄSKIE,2015,family,98.8
200000,DOLNOŚLĄSKIE,2015,freedom_sexual,88.1
200000,DOLNOŚLĄSKIE,2015,life_health,82.1
200000,DOLNOŚLĄSKIE,2015,property,43.5
200000,DOLNOŚLĄSKIE,2015,public_safety,97.9
200000,DOLNOŚLĄSKIE,2015,total,60.3
200000,DOLNOŚLĄSKIE,2015,traffic,98.9
200000,DOLNOŚLĄSKIE,2016,criminal,51.7
200000,DOLNOŚLĄSKIE,2016,economic,77.5
200000,DOLNOŚLĄSKIE,2016,family,98.7
200000,DOLNOŚLĄSKIE,2016,freedom_sexual,86.8
200000,DOLNOŚLĄSKIE,2016,life_health,80.5
200000,DOLNOŚLĄSKIE,2016,property,41.0
200000,DOLNOŚLĄSKIE,2016,public_safety,97.6
200000,DOLNOŚLĄSKIE,2016,total,60.7
200000,DOLNOŚLĄSKIE,2016,traffic,98.3
200000,DOLNOŚLĄSKIE,2017,criminal,54.7
200000,DOLNOŚLĄSKIE,2017,economic,80.5
200000,DOLNOŚLĄSKIE,2017,family,99.5
200000,DOLNOŚLĄSKIE,2017,freedom_sexual,89.5
200000,DOLNOŚLĄSKIE,2017,life_health,82.9
200000,DOLNOŚLĄSKIE,2017,property,44.5
200000,DOLNOŚLĄSKIE,2017,public_safety,97.4
200000,DOLNOŚLĄSKIE,2017,total,64.1
200000,DOLNOŚLĄSKIE,2017,traffic,98.2
200000,DOLNOŚLĄSKIE,2018,criminal,57.5
200000,DOLNOŚLĄSKIE,2018,economic,78.1
200000,DOLNOŚLĄSKIE,2018,family,99.7
200000,DOLNOŚLĄSKIE,2018,freedom_sexual,88.0
200000,DOLNOŚLĄSKIE,2018,life_health,81.0
200000,DOLNOŚLĄSKIE,2018,property,43.6
200000,DOLNOŚLĄSKIE,2018,public_safety,97.2
200000,DOLNOŚLĄSKIE,2018,total,65.4
200000,DOLNOŚLĄSKIE,2018,traffic,98.2
200000,DOLNOŚLĄSKIE,2019,criminal,58.8
200000,DOLNOŚLĄSKIE,2019,economic,75.1
200000,DOLNOŚLĄSKIE,2019,family,99.6
200000,DOLNOŚLĄSKIE,2019,freedom_sexual,88.0
200000,DOLNOŚLĄSKIE,2019,life_health,83.8
200000,DOLNOŚLĄSKIE,2019,property,46.5
200000,DOLNOŚLĄSKIE,2019,public_safety,97.1
200000,DOLNOŚLĄSKIE,2019,total,66.3
200000,DOLNOŚLĄSKIE,2019,traffic,98.0
200000,DOLNOŚLĄSKIE,2020,criminal,59.0
200000,DOLNOŚLĄSKIE,2020,economic,68.0
200000,DOLNOŚLĄSKIE,2020,family,99.8
200000,DOLNOŚLĄSKIE,2020,freedom_sexual,87.1
200000,DOLNOŚLĄSKIE,2020,life_health,85.2
200000,DOLNOŚLĄSKIE,2020,property,46.3
200000,DOLNOŚLĄSKIE,2020,public_safety,97.1
200000,DOLNOŚLĄSKIE,2020,total,65.5
200000,DOLNOŚLĄSKIE,2020,traffic,97.4
200000,DOLNOŚLĄSKIE,2021,criminal,59.6
200000,DOLNOŚLĄSKIE,2021,economic,61.3
200000,DOLNOŚLĄSKIE,2021,family,99.7
200000,DOLNOŚLĄSKIE,2021,freedom_sexual,87.0
200000,DOLNOŚLĄSKIE,2021,life_health,88.4
200000,DOLNOŚLĄSKIE,2021,property,45.5
200000,DOLNOŚLĄSKIE,2021,public_safety,97.4
200000,DOLNOŚLĄSKIE,2021,total,65.3
200000,DOLNOŚLĄSKIE,2021,traffic,97.8
200000,DOLNOŚLĄSKIE,2022,criminal,56.6
200000,DOLNOŚLĄSKIE,2022,economic,62.0
200000,DOLNOŚLĄSKIE,2022,family,99.5
200000,DOLNOŚLĄSKIE,2022,freedom_sexual,84.8
200000,DOLNOŚLĄSKIE,2022,life_health,81.9
200000,DOLNOŚLĄSKIE,2022,property,43.2
200000,DOLNOŚLĄSKIE,2022,public_safety,96.6
200000,DOLNOŚLĄSKIE,2022,total,63.0
200000,DOLNOŚLĄSKIE,2022,traffic,97.4
200000,DOLNOŚLĄSKIE,2023,criminal,60.2
200000,DOLNOŚLĄSKIE,2023,economic,60.5
200000,DOLNOŚLĄSKIE,2023,family,99.7
200000,DOLNOŚLĄSKIE,2023,freedom_sexual,83.6
200000,DOLNOŚLĄSKIE,2023,life_health,83.2
200000,DOLNOŚLĄSKIE,2023,property,44.6
200000,DOLNOŚLĄSKIE,2023,public_safety,97.2
200000,DOLNOŚLĄSKIE,2023,total,65.0
200000,DOLNOŚLĄSKIE,2023,traffic,97.7
200000,DOLNOŚLĄSKIE,2024,criminal,59.6
200000,DOLNOŚLĄSKIE,2024,economic,59.2
200000,DOLNOŚLĄSKIE,2024,family,99.6
200000,DOLNOŚLĄSKIE,2024,freedom_sexual,84.0
200000,DOLNOŚLĄSKIE,2024,life_health,81.4
200000,DOLNOŚLĄSKIE,2024,property,43.2
200000,DOLNOŚLĄSKIE,2024,public_safety,97.2
200000,DOLNOŚLĄSKIE,2024,total,62.5
200000,DOLNOŚLĄSKIE,2024,traffic,97.7
201000,Powiat bolesławiecki,2013,criminal,57.1
201000,Powiat bolesławiecki,2013,economic,89.1
201000,Powiat bolesławiecki,2013,family,100.0
201000,Powiat bolesławiecki,2013,freedom_sexual,92.7
201000,Powiat bolesławiecki,2013,life_health,85.1
201000,Powiat bolesławiecki,2013,property,48.4
201000,Powiat bolesławiecki,2013,public_safety,99.2
201000,Powiat bolesławiecki,2013,total,69.5
201000,Powiat bolesławiecki,2013,traffic,99.4
201000,Powiat bolesławiecki,2014,criminal,59.3
201000,Powiat bolesławiecki,2014,economic,90.7
201000,Powiat bolesławiecki,2014,family,100.0
201000,Powiat bolesławiecki,2014,freedom_sexual,91.2
201000,Powiat bolesławiecki,2014,life_health,81.8
201000,Powiat bolesławiecki,2014,property,57.1
201000,Powiat bolesławiecki,2014,public_safety,98.4
201000,Powiat bolesławiecki,2014,total,69.3
201000,Powiat bolesławiecki,2014,traffic,98.4
201000,Powiat bolesławiecki,2015,criminal,53.5
201000,Powiat bolesławiecki,2015,economic,83.4
201000,Powiat bolesławiecki,2015,family,96.5
201000,Powiat bolesławiecki,2015,freedom_sexual,87.0
201000,Powiat bolesławiecki,2015,life_health,87.5
201000,Powiat bolesławiecki,2015,property,46.7
201000,Powiat bolesławiecki,2015,public_safety,99.3
201000,Powiat bolesławiecki,2015,total,64.3
201000,Powiat bolesławiecki,2015,traffic,99.6
201000,Powiat bolesławiecki,2016,criminal,60.3
201000,Powiat bolesławiecki,2016,economic,69.7
201000,Powiat bolesławiecki,2016,family,99.0
201000,Powiat bolesławiecki,2016,freedom_sexual,92.2
201000,Powiat bolesławiecki,2016,life_health,92.9
201000,Powiat bolesławiecki,2016,property,48.6
