region_code,region_name,year,crime_category,value
200000,DOLNOŚLĄSKIE,2013,criminal,27.78
200000,DOLNOŚLĄSKIE,2013,economic,5.0
200000,DOLNOŚLĄSKIE,2013,family,0.99
200000,DOLNOŚLĄSKIE,2013,freedom_sexual,1.9
200000,DOLNOŚLĄSKIE,2013,life_health,0.77
200000,DOLNOŚLĄSKIE,2013,property,22.67
200000,DOLNOŚLĄSKIE,2013,total,38.15
200000,DOLNOŚLĄSKIE,2013,traffic,3.82
200000,DOLNOŚLĄSKIE,2014,criminal,21.11
200000,DOLNOŚLĄSKIE,2014,economic,4.42
200000,DOLNOŚLĄSKIE,2014,family,0.82
200000,DOLNOŚLĄSKIE,2014,freedom_sexual,1.05
200000,DOLNOŚLĄSKIE,2014,life_health,0.6
200000,DOLNOŚLĄSKIE,2014,property,17.6
200000,DOLNOŚLĄSKIE,2014,total,28.73
200000,DOLNOŚLĄSKIE,2014,traffic,2.41
200000,DOLNOŚLĄSKIE,2015,criminal,19.95
200000,DOLNOŚLĄSKIE,2015,economic,4.28
200000,DOLNOŚLĄSKIE,2015,family,0.68
200000,DOLNOŚLĄSKIE,2015,freedom_sexual,0.99
200000,DOLNOŚLĄSKIE,2015,life_health,0.47
200000,DOLNOŚLĄSKIE,2015,property,17.0
200000,DOLNOŚLĄSKIE,2015,total,27.33
200000,DOLNOŚLĄSKIE,2015,traffic,2.18
200000,DOLNOŚLĄSKIE,2016,criminal,19.01
200000,DOLNOŚLĄSKIE,2016,economic,3.66
200000,DOLNOŚLĄSKIE,2016,family,0.65
200000,DOLNOŚLĄSKIE,2016,freedom_sexual,0.99
200000,DOLNOŚLĄSKIE,2016,life_health,0.5
200000,DOLNOŚLĄSKIE,2016,property,15.4
200000,DOLNOŚLĄSKIE,2016,total,25.73
200000,DOLNOŚLĄSKIE,2016,traffic,2.05
200000,DOLNOŚLĄSKIE,2017,criminal,17.91
200000,DOLNOŚLĄSKIE,2017,economic,4.0
200000,DOLNOŚLĄSKIE,2017,family,0.93
200000,DOLNOŚLĄSKIE,2017,freedom_sexual,1.12
200000,DOLNOŚLĄSKIE,2017,life_health,0.49
200000,DOLNOŚLĄSKIE,2017,property,14.49
200000,DOLNOŚLĄSKIE,2017,total,25.1
200000,DOLNOŚLĄSKIE,2017,traffic,2.1
200000,DOLNOŚLĄSKIE,2018,criminal,18.48
200000,DOLNOŚLĄSKIE,2018,economic,4.24
200000,DOLNOŚLĄSKIE,2018,family,1.87
200000,DOLNOŚLĄSKIE,2018,freedom_sexual,1.06
200000,DOLNOŚLĄSKIE,2018,life_health,0.46
200000,DOLNOŚLĄSKIE,2018,property,14.05
200000,DOLNOŚLĄSKIE,2018,total,25.76
200000,DOLNOŚLĄSKIE,2018,traffic,1.95
200000,DOLNOŚLĄSKIE,2019,criminal,18.87
200000,DOLNOŚLĄSKIE,2019,economic,4.5
200000,DOLNOŚLĄSKIE,2019,family,1.54
200000,DOLNOŚLĄSKIE,2019,freedom_sexual,1.24
200000,DOLNOŚLĄSKIE,2019,life_health,0.46
200000,DOLNOŚLĄSKIE,2019,property,14.82
200000,DOLNOŚLĄSKIE,2019,total,26.76
200000,DOLNOŚLĄSKIE,2019,traffic,2.09
200000,DOLNOŚLĄSKIE,2020,criminal,18.17
200000,DOLNOŚLĄSKIE,2020,economic,3.95
200000,DOLNOŚLĄSKIE,2020,family,1.35
200000,DOLNOŚLĄSKIE,2020,freedom_sexual,1.15
200000,DOLNOŚLĄSKIE,2020,life_health,0.43
200000,DOLNOŚLĄSKIE,2020,property,14.53
200000,DOLNOŚLĄSKIE,2020,total,25.66
200000,DOLNOŚLĄSKIE,2020,traffic,2.11
200000,DOLNOŚLĄSKIE,2021,criminal,19.05
200000,DOLNOŚLĄSKIE,2021,economic,5.11
200000,DOLNOŚLĄSKIE,2021,family,1.26
200000,DOLNOŚLĄSKIE,2021,freedom_sexual,1.15
200000,DOLNOŚLĄSKIE,2021,life_health,0.41
200000,DOLNOŚLĄSKIE,2021,property,15.81
200000,DOLNOŚLĄSKIE,2021,total,28.19
200000,DOLNOŚLĄSKIE,2021,traffic,2.37
200000,DOLNOŚLĄSKIE,2022,criminal,19.57
200000,DOLNOŚLĄSKIE,2022,economic,5.59
