region_code,region_name,year,total_crimes
200000,DOLNOŚLĄSKIE,2013,196410.0
200000,DOLNOŚLĄSKIE,2014,146796.0
200000,DOLNOŚLĄSKIE,2015,139379.0
200000,DOLNOŚLĄSKIE,2016,129817.0
200000,DOLNOŚLĄSKIE,2017,126262.0
200000,DOLNOŚLĄSKIE,2018,128709.0
200000,DOLNOŚLĄSKIE,2019,133011.0
200000,DOLNOŚLĄSKIE,2020,128559.0
200000,DOLNOŚLĄSKIE,2021,138846.0
200000,DOLNOŚLĄSKIE,2022,142693.0
200000,DOLNOŚLĄSKIE,2023,132003.0
200000,DOLNOŚLĄSKIE,2024,123608.0
201000,Powiat bolesławiecki,2013,4788.0
201000,Powiat bolesławiecki,2014,4224.0
201000,Powiat bolesławiecki,2015,4149.0
201000,Powiat bolesławiecki,2016,4335.0
201000,Powiat bolesławiecki,2017,4640.0
201000,Powiat bolesławiecki,2018,4948.0
201000,Powiat bolesławiecki,2019,4546.0
201000,Powiat bolesławiecki,2020,4489.0
201000,Powiat bolesławiecki,2021,5292.0
201000,Powiat bolesławiecki,2022,5077.0
201000,Powiat bolesławiecki,2023,4721.0
201000,Powiat bolesławiecki,2024,5482.0
202000,Powiat dzierżoniowski,2013,4330.0
202000,Powiat dzierżoniowski,2014,3703.0
202000,Powiat dzierżoniowski,2015,2785.0
202000,Powiat dzierżoniowski,2016,2682.0
202000,Powiat dzierżoniowski,2017,2634.0
202000,Powiat dzierżoniowski,2018,2643.0
202000,Powiat dzierżoniowski,2019,2574.0
202000,Powiat dzierżoniowski,2020,2755.0
202000,Powiat dzierżoniowski,2021,2902.0
202000,Powiat dzierżoniowski,2022,3086.0
202000,Powiat dzierżoniowski,2023,3135.0
202000,Powiat dzierżoniowski,2024,2663.0
203000,Powiat głogowski,2013,10096.0
203000,Powiat głogowski,2014,5517.0
203000,Powiat głogowski,2015,3560.0
203000,Powiat głogowski,2016,3451.0
203000,Powiat głogowski,2017,3490.0
203000,Powiat głogowski,2018,3854.0
203000,Powiat głogowski,2019,3890.0
203000,Powiat głogowski,2020,4148.0
203000,Powiat głogowski,2021,4329.0
203000,Powiat głogowski,2022,4208.0
203000,Powiat głogowski,2023,4535.0
203000,Powiat głogowski,2024,5633.0
