powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct
200000,DOLNOŚLĄSKIE,2013,196410.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2014,146796.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2015,139379.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2016,129817.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2017,126262.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2018,128709.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2019,133011.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2020,128559.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2021,138846.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2022,142693.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2023,132003.0,,,,,,,,,,,,,,,,,,,,
200000,DOLNOŚLĄSKIE,2024,123608.0,,,,,,,,,,,,,,,,,,,,
201000,Powiat bolesławiecki,2013,4788.0,90306.0,1304.0,69.25,43962.0,46344.0,94.86,18318.0,25970.0,24184.0,,,5301.97,53.02,0.2028,0.2876,0.2678,rural,large,,
201000,Powiat bolesławiecki,2014,4224.0,90346.0,1304.0,69.28,43947.0,46399.0,94.72,17729.0,26244.0,24441.0,40.0,0.04,4675.36,46.75,0.1962,0.2905,0.2705,rural,large,-626.6100000000006,-11.82
201000,Powiat bolesławiecki,2015,4149.0,90199.0,1304.0,69.17,43810.0,46389.0,94.44,17195.0,26569.0,24686.0,-147.0,-0.16,4599.83,46.0,0.1906,0.2946,0.2737,rural,large,-75.52999999999975,-1.62
