powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct
0200000,DOLNOŚLĄSKIE,2024,69582.0,,,,,,,,,,,,,,,,,,,,
0201000,Powiat bolesławiecki,2024,3479.0,87255.0,1303.0,66.96,42244.0,45011.0,93.85,13335.0,26699.0,22844.0,-387.0,-0.44,3987.16,39.87,0.1528,0.306,0.2618,rural,large,1251.0299999999997,45.72
0202000,Powiat dzierżoniowski,2024,1564.0,93863.0,479.0,195.96,44496.0,49367.0,90.13,12763.0,27888.0,26141.0,-877.0,-0.93,1666.26,16.66,0.136,0.2971,0.2785,suburban,large,-176.68000000000006,-9.59
0203000,Powiat głogowski,2024,3448.0,84387.0,443.0,190.49,40823.0,43564.0,93.71,13021.0,25499.0,21205.0,-656.0,-0.77,4085.94,40.86,0.1543,0.3022,0.2513,suburban,large,1252.08,44.18
0204000,Powiat górowski,2024,702.0,32054.0,738.0,43.43,15861.0,16193.0,97.95,5443.0,9125.0,8681.0,-405.0,-1.25,2190.05,21.9,0.1698,0.2847,0.2708,rural,medium,-256.1099999999997,-10.47
0205000,Powiat jaworski,2024,784.0,46822.0,581.0,80.59,22913.0,23909.0,95.83,6949.0,13935.0,12966.0,-391.0,-0.83,1674.43,16.74,0.1484,0.2976,0.2769,rural,medium,-365.26,-17.91
0206000,Powiat karkonoski,2024,1308.0,59864.0,627.0,95.48,28854.0,31010.0,93.05,8632.0,18042.0,17124.0,-574.0,-0.95,2184.95,21.85,0.1442,0.3014,0.286,rural,medium,340.0799999999999,18.43
0207000,Powiat kamiennogórski,2024,633.0,39875.0,396.0,100.69,19396.0,20479.0,94.71,6155.0,11719.0,11206.0,-444.0,-1.1,1587.46,15.87,0.1544,0.2939,0.281,suburban,medium,-344.6299999999999,-17.84
0208000,Powiat kłodzki,2024,3008.0,145243.0,1643.0,88.4,69808.0,75435.0,92.54,20216.0,42819.0,40842.0,-1709.0,-1.16,2071.01,20.71,0.1392,0.2948,0.2812,rural,very_large,260.9000000000003,14.41
0209000,Powiat legnicki,2024,1229.0,54967.0,744.0,73.88,26882.0,28085.0,95.72,8434.0,16649.0,14632.0,-65.0,-0.12,2235.89,22.36,0.1534,0.3029,0.2662,rural,medium,482.3599999999999,27.51
0210000,Powiat lubański,2024,1332.0,50909.0,428.0,118.95,24611.0,26298.0,93.59,7708.0,15191.0,13822.0,-501.0,-0.97,2616.43,26.16,0.1514,0.2984,0.2715,suburban,medium,-266.2800000000002,-9.24
0211000,Powiat lubiński,2024,2545.0,102376.0,712.0,143.79,49109.0,53267.0,92.19,14612.0,30792.0,26179.0,-496.0,-0.48,2485.93,24.86,0.1427,0.3008,0.2557,suburban,very_large,-74.5300000000002,-2.91
0212000,Powiat lwówecki,2024,922.0,42465.0,710.0,59.81,20703.0,21762.0,95.13,6345.0,12803.0,11762.0,-352.0,-0.82,2171.2,21.71,0.1494,0.3015,0.277,rural,medium,-288.10000000000036,-11.71
0213000,Powiat milicki,2024,571.0,35396.0,715.0,49.5,17453.0,17943.0,97.27,5975.0,10392.0,8863.0,-207.0,-0.58,1613.18,16.13,0.1688,0.2936,0.2504,rural,medium,-1.849999999999909,-0.11
0214000,Powiat oleśnicki,2024,1514.0,106706.0,1049.0,101.72,52074.0,54632.0,95.32,16313.0,33371.0,26354.0,190.0,0.18,1418.85,14.19,0.1529,0.3127,0.247,suburban,very_large,-565.8300000000002,-28.51
0215000,Powiat oławski,2024,1122.0,77387.0,524.0,147.69,37611.0,39776.0,94.56,11654.0,24178.0,19111.0,-41.0,-0.05,1449.86,14.5,0.1506,0.3124,0.247,suburban,large,-473.22,-24.61
