powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct,unemployment_rate,wage_index,unemployment_category,wage_category,social_risk_score
1001000,Powiat bełchatowski,2014,4276.0,113238.0,968.0,116.98,55617.0,57621.0,96.52,23110.0,32866.0,31524.0,133.0,0.12,3776.12,37.76,0.2041,0.2902,0.2784,suburban,very_large,-565.8599999999997,-13.03,10.9,139.3,medium,high,-4.483131069571103
1001000,Powiat bełchatowski,2015,3328.0,112916.0,968.0,116.65,55457.0,57459.0,96.52,21956.0,33351.0,31815.0,-322.0,-0.28,2947.32,29.47,0.1944,0.2954,0.2818,suburban,very_large,-828.7999999999997,-21.95,8.8,139.5,low,high,-4.884315443280986
1001000,Powiat bełchatowski,2016,3626.0,113004.0,968.0,116.74,55495.0,57509.0,96.5,21102.0,33858.0,31798.0,88.0,0.08,3208.74,32.09,0.1867,0.2996,0.2814,suburban,very_large,261.4199999999996,8.87,7.5,134.7,low,high,-4.6872306869724465
1001000,Powiat bełchatowski,2017,3141.0,113028.0,968.0,116.76,55449.0,57579.0,96.3,20272.0,34184.0,31648.0,24.0,0.02,2778.96,27.79,0.1794,0.3024,0.28,suburban,very_large,-429.77999999999975,-13.39,6.0,130.9,low,high,-4.6170967316871145
1001000,Powiat bełchatowski,2018,3314.0,112997.0,968.0,116.73,55334.0,57663.0,95.96,19420.0,34481.0,31474.0,-31.0,-0.03,2932.82,29.33,0.1719,0.3051,0.2785,suburban,very_large,153.86000000000013,5.54,5.7,129.5,low,high,-4.545171748037658
1001000,Powiat bełchatowski,2019,4077.0,112779.0,968.0,116.51,55198.0,57581.0,95.86,18542.0,34784.0,31157.0,-218.0,-0.19,3615.03,36.15,0.1644,0.3084,0.2763,suburban,very_large,682.21,23.26,4.9,129.2,very_low,high,-4.6639714706503606
1001000,Powiat bełchatowski,2020,2699.0,110229.0,968.0,113.87,53959.0,56270.0,95.89,16255.0,34402.0,30716.0,-2550.0,-2.26,2448.54,24.49,0.1475,0.3121,0.2787,suburban,very_large,-1166.4900000000002,-32.27,5.5,126.8,low,high,-4.337398623136115
1001000,Powiat bełchatowski,2021,3435.0,109588.0,968.0,113.21,53544.0,56044.0,95.54,15816.0,34281.0,30228.0,-641.0,-0.58,3134.47,31.34,0.1443,0.3128,0.2758,suburban,very_large,685.9299999999998,28.01,5.2,121.5,low,high,-3.912656528376791
1001000,Powiat bełchatowski,2022,3007.0,109035.0,968.0,112.64,53248.0,55787.0,95.45,15714.0,33988.0,29837.0,-553.0,-0.5,2757.83,27.58,0.1441,0.3117,0.2736,suburban,very_large,-376.6399999999999,-12.02,5.1,121.4,low,high,-3.921852373333029
1001000,Powiat bełchatowski,2023,3096.0,108599.0,968.0,112.19,53027.0,55572.0,95.42,15697.0,33631.0,29407.0,-436.0,-0.4,2850.85,28.51,0.1445,0.3097,0.2708,suburban,very_large,93.01999999999998,3.37,4.7,122.0,very_low,high,-4.049101679083586
1001000,Powiat bełchatowski,2024,3192.0,108003.0,968.0,111.57,52716.0,55287.0,95.35,15864.0,33083.0,29028.0,-596.0,-0.55,2955.47,29.55,0.1469,0.3063,0.2688,suburban,very_large,104.61999999999988,3.67,4.6,119.5,very_low,high,-3.8411793018183658
1002000,Powiat kutnowski,2014,2955.0,99967.0,887.0,112.7,48095.0,51872.0,92.72,18593.0,28031.0,29218.0,-440.0,-0.44,2955.98,29.56,0.186,0.2804,0.2923,suburban,large,-757.9000000000001,-20.41,15.5,84.8,high,medium_low,1.2864140206192183
1002000,Powiat kutnowski,2015,2883.0,99258.0,887.0,111.9,47728.0,51530.0,92.62,17897.0,27968.0,29340.0,-709.0,-0.71,2904.55,29.05,0.1803,0.2818,0.2956,suburban,large,-51.42999999999984,-1.74,14.2,85.6,medium,medium_low,0.9768895917443554
1002000,Powiat kutnowski,2016,4217.0,98583.0,887.0,111.14,47398.0,51185.0,92.6,17271.0,27909.0,28870.0,-675.0,-0.68,4277.61,42.78,0.1752,0.2831,0.2928,suburban,large,1373.0599999999995,47.27,11.9,85.9,medium,medium_low,0.5301737503443126
1002000,Powiat kutnowski,2017,3095.0,98018.0,887.0,110.51,47103.0,50915.0,92.51,16623.0,27858.0,28487.0,-565.0,-0.57,3157.58,31.58,0.1696,0.2842,0.2906,suburban,large,-1120.0299999999995,-26.18,9.5,87.2,low,medium_low,-0.025250454530134754
1002000,Powiat kutnowski,2018,3014.0,97295.0,887.0,109.69,46781.0,50514.0,92.61,16014.0,27693.0,28152.0,-723.0,-0.74,3097.8,30.98,0.1646,0.2846,0.2893,suburban,large,-59.77999999999975,-1.89,8.9,87.0,low,medium_low,-0.11661189463780246
1002000,Powiat kutnowski,2019,3116.0,96569.0,887.0,108.87,46423.0,50146.0,92.58,15485.0,27490.0,27785.0,-726.0,-0.75,3226.71,32.27,0.1604,0.2847,0.2877,suburban,large,128.90999999999983,4.16,8.1,85.8,low,medium_low,-0.1539922839174595
1002000,Powiat kutnowski,2020,2631.0,93670.0,887.0,105.6,44990.0,48680.0,92.42,13623.0,26862.0,27264.0,-2899.0,-3.0,2808.8,28.09,0.1454,0.2868,0.2911,suburban,large,-417.9099999999999,-12.95,8.2,86.7,low,medium_low,-0.21716917970170846
1002000,Powiat kutnowski,2021,3037.0,92544.0,887.0,104.33,44401.0,48143.0,92.23,13255.0,26531.0,26768.0,-1126.0,-1.2,3281.68,32.82,0.1432,0.2867,0.2892,suburban,large,472.87999999999965,16.84,8.5,87.1,low,medium_low,-0.19862823742555574
1002000,Powiat kutnowski,2022,3200.0,91563.0,887.0,103.23,43900.0,47663.0,92.1,13024.0,26163.0,26423.0,-981.0,-1.06,3494.86,34.95,0.1422,0.2857,0.2886,suburban,large,213.1800000000003,6.5,7.6,86.5,low,medium_low,-0.3085306198093762
