powiat_code,powiat_name,year,age_15_29,age_30_49,age_50_69
0201000,Powiat bolesławiecki,2013,18318,25970,24184
0201000,Powiat bolesławiecki,2014,17729,26244,24441
0201000,Powiat bolesławiecki,2015,17195,26569,24686
0201000,Powiat bolesławiecki,2016,16657,26871,24775
0201000,Powiat bolesławiecki,2017,16064,27178,24606
0201000,Powiat bolesławiecki,2018,15606,27432,24434
0201000,Powiat bolesławiecki,2019,15101,27714,24080
0201000,Powiat bolesławiecki,2020,13645,27706,23474
0201000,Powiat bolesławiecki,2021,13346,27752,23131
0201000,Powiat bolesławiecki,2022,13286,27482,22881
0201000,Powiat bolesławiecki,2023,13386,27126,22739
0201000,Powiat bolesławiecki,2024,13335,26699,22844
0202000,Powiat dzierżoniowski,2013,19520,29547,30032
0202000,Powiat dzierżoniowski,2014,18612,29747,30349
0202000,Powiat dzierżoniowski,2015,17781,29860,30617
0202000,Powiat dzierżoniowski,2016,17101,29916,30431
0202000,Powiat dzierżoniowski,2017,16537,29957,30078
0202000,Powiat dzierżoniowski,2018,15884,30068,29599
0202000,Powiat dzierżoniowski,2019,15328,30077,29131
0202000,Powiat dzierżoniowski,2020,13535,29780,28174
0202000,Powiat dzierżoniowski,2021,13150,29480,27507
0202000,Powiat dzierżoniowski,2022,12968,29099,26859
0202000,Powiat dzierżoniowski,2023,12847,28476,26475
0202000,Powiat dzierżoniowski,2024,12763,27888,26141
0203000,Powiat głogowski,2013,17357,26540,25893
0203000,Powiat głogowski,2014,16709,26797,26096
0203000,Powiat głogowski,2015,16073,27227,26170
0203000,Powiat głogowski,2016,15582,27357,25781
0203000,Powiat głogowski,2017,15173,27609,25268
0203000,Powiat głogowski,2018,14598,27749,24606
0203000,Powiat głogowski,2019,14170,27793,23923
0203000,Powiat głogowski,2020,12780,27466,22872
0203000,Powiat głogowski,2021,12729,27157,22328
0203000,Powiat głogowski,2022,12714,26720,21821
0203000,Powiat głogowski,2023,12886,26100,21499
0203000,Powiat głogowski,2024,13021,25499,21205
0204000,Powiat górowski,2013,7987,9831,9449
0204000,Powiat górowski,2014,7708,9914,9540
0204000,Powiat górowski,2015,7450,10024,9568
0204000,Powiat górowski,2016,7261,10061,9587
0204000,Powiat górowski,2017,7088,10088,9477
0204000,Powiat górowski,2018,6898,10060,9394
0204000,Powiat górowski,2019,6657,9982,9272
0204000,Powiat górowski,2020,5743,9678,9102
0204000,Powiat górowski,2021,5598,9549,8963
0204000,Powiat górowski,2022,5532,9462,8874
0204000,Powiat górowski,2023,5525,9306,8786
0204000,Powiat górowski,2024,5443,9125,8681
0205000,Powiat jaworski,2013,10586,14508,14743
0205000,Powiat jaworski,2014,10146,14674,14861
0205000,Powiat jaworski,2015,9743,14785,15022
0205000,Powiat jaworski,2016,9261,14936,14993
0205000,Powiat jaworski,2017,8860,15078,14784
0205000,Powiat jaworski,2018,8471,15041,14594
0205000,Powiat jaworski,2019,8169,15031,14348
0205000,Powiat jaworski,2020,7207,14749,13931
0205000,Powiat jaworski,2021,7032,14601,13596
0205000,Powiat jaworski,2022,6910,14395,13402
0205000,Powiat jaworski,2023,6958,14177,13146
0205000,Powiat jaworski,2024,6949,13935,12966
0206000,Powiat karkonoski,2013,12231,18886,19376
0206000,Powiat karkonoski,2014,11706,19069,19680
0206000,Powiat karkonoski,2015,11279,19193,19837
0206000,Powiat karkonoski,2016,10999,19288,19758
0206000,Powiat karkonoski,2017,10662,19457,19486
0206000,Powiat karkonoski,2018,10354,19519,19176
0206000,Powiat karkonoski,2019,10074,19560,18937
0206000,Powiat karkonoski,2020,8694,19254,18327
0206000,Powiat karkonoski,2021,8632,19069,17886
0206000,Powiat karkonoski,2022,8622,18834,17553
0206000,Powiat karkonoski,2023,8640,18449,17260
0206000,Powiat karkonoski,2024,8632,18042,17124
0207000,Powiat kamiennogórski,2013,8823,12614,12622
0207000,Powiat kamiennogórski,2014,8461,12670,12795
0207000,Powiat kamiennogórski,2015,8218,12690,12942
0207000,Powiat kamiennogórski,2016,8015,12737,12913
0207000,Powiat kamiennogórski,2017,7769,12786,12753
0207000,Powiat kamiennogórski,2018,7540,12799,12517
0207000,Powiat kamiennogórski,2019,7286,12812,12266
0207000,Powiat kamiennogórski,2020,6419,12598,11936
0207000,Powiat kamiennogórski,2021,6316,12385,11710
0207000,Powiat kamiennogórski,2022,6229,12270,11454
0207000,Powiat kamiennogórski,2023,6205,12018,11326
0207000,Powiat kamiennogórski,2024,6155,11719,11206
0208000,Powiat kłodzki,2013,30994,45768,48808
0208000,Powiat kłodzki,2014,29601,46172,49038
0208000,Powiat kłodzki,2015,28307,46509,49221
0208000,Powiat kłodzki,2016,27317,46801,48730
0208000,Powiat kłodzki,2017,26209,47003,47908
0208000,Powiat kłodzki,2018,25264,47151,46781
0208000,Powiat kłodzki,2019,24342,46964,45907
0208000,Powiat kłodzki,2020,21392,45696,44213
0208000,Powiat kłodzki,2021,20798,45119,43082
0208000,Powiat kłodzki,2022,20561,44398,42108
0208000,Powiat kłodzki,2023,20397,43645,41438
0208000,Powiat kłodzki,2024,20216,42819,40842
0209000,Powiat legnicki,2013,11212,15605,14967
0209000,Powiat legnicki,2014,10930,15881,15163
0209000,Powiat legnicki,2015,10545,16265,15244
0209000,Powiat legnicki,2016,10280,16446,15316
0209000,Powiat legnicki,2017,10005,16622,15263
0209000,Powiat legnicki,2018,9688,16770,15190
0209000,Powiat legnicki,2019,9395,16837,14958
0209000,Powiat legnicki,2020,8397,17104,14913
0209000,Powiat legnicki,2021,8290,17180,14763
0209000,Powiat legnicki,2022,8317,17049,14633
0209000,Powiat legnicki,2023,8332,16899,14565
0209000,Powiat legnicki,2024,8434,16649,14632
0210000,Powiat lubański,2013,11168,15993,15923
0210000,Powiat lubański,2014,10823,16126,16085
0210000,Powiat lubański,2015,10404,16266,16156
0210000,Powiat lubański,2016,10064,16363,16112
0210000,Powiat lubański,2017,9765,16434,15932
0210000,Powiat lubański,2018,9463,16633,15492
0210000,Powiat lubański,2019,9242,16505,15160
0210000,Powiat lubański,2020,8120,16404,14634
0210000,Powiat lubański,2021,7900,16171,14314
0210000,Powiat lubański,2022,7791,15941,14041
0210000,Powiat lubański,2023,7754,15584,13945
0210000,Powiat lubański,2024,7708,15191,13822
0211000,Powiat lubiński,2013,19927,31289,30905
0211000,Powiat lubiński,2014,19058,31697,30908
0211000,Powiat lubiński,2015,18372,32012,30910
0211000,Powiat lubiński,2016,17733,32271,30506
0211000,Powiat lubiński,2017,17263,32471,29908
0211000,Powiat lubiński,2018,16712,32611,29097
0211000,Powiat lubiński,2019,16373,32692,28392
0211000,Powiat lubiński,2020,15129,32465,27554
0211000,Powiat lubiński,2021,14748,32328,26978
0211000,Powiat lubiński,2022,14541,31957,26611
0211000,Powiat lubiński,2023,14549,31448,26310
0211000,Powiat lubiński,2024,14612,30792,26179
0212000,Powiat lwówecki,2013,10024,12966,13442
0212000,Powiat lwówecki,2014,9594,13101,13557
0212000,Powiat lwówecki,2015,9202,13228,13684
0212000,Powiat lwówecki,2016,8934,13299,13743
0212000,Powiat lwówecki,2017,8669,13396,13625
0212000,Powiat lwówecki,2018,8312,13473,13345
0212000,Powiat lwówecki,2019,8085,13572,13144
0212000,Powiat lwówecki,2020,6904,13250,12758
0212000,Powiat lwówecki,2021,6668,13157,12462
0212000,Powiat lwówecki,2022,6559,13092,12159
0212000,Powiat lwówecki,2023,6409,12967,11969
0212000,Powiat lwówecki,2024,6345,12803,11762
0213000,Powiat milicki,2013,7861,10338,9780
0213000,Powiat milicki,2014,7501,10513,9891
0213000,Powiat milicki,2015,7258,10707,9927
0213000,Powiat milicki,2016,7092,10814,9868
0213000,Powiat milicki,2017,6883,10922,9709
0213000,Powiat milicki,2018,6691,11011,9573
0213000,Powiat milicki,2019,6577,11020,9396
0213000,Powiat milicki,2020,5971,10861,9200
0213000,Powiat milicki,2021,5848,10814,9097
0213000,Powiat milicki,2022,5868,10698,9000
0213000,Powiat milicki,2023,5890,10561,8902
0213000,Powiat milicki,2024,5975,10392,8863
0214000,Powiat oleśnicki,2013,22047,31301,27153
0214000,Powiat oleśnicki,2014,21267,31801,27559
0214000,Powiat oleśnicki,2015,20509,32258,27881
0214000,Powiat oleśnicki,2016,19944,32656,27761
0214000,Powiat oleśnicki,2017,19347,32974,27551
0214000,Powiat oleśnicki,2018,18686,33286,27212
0214000,Powiat oleśnicki,2019,18149,33526,27032
0214000,Powiat oleśnicki,2020,16949,33658,26732
0214000,Powiat oleśnicki,2021,16552,33668,26491
0214000,Powiat oleśnicki,2022,16286,33640,26347
0214000,Powiat oleśnicki,2023,16290,33506,26233
0214000,Powiat oleśnicki,2024,16313,33371,26354
0215000,Powiat oławski,2013,14725,22763,20222
0215000,Powiat oławski,2014,14196,23224,20377
0215000,Powiat oławski,2015,13698,23554,20608
0215000,Powiat oławski,2016,13216,23916,20517
0215000,Powiat oławski,2017,12813,24148,20344
0215000,Powiat oławski,2018,12397,24309,20025
0215000,Powiat oławski,2019,12152,24400,19735
0215000,Powiat oławski,2020,11552,25044,19495
0215000,Powiat oławski,2021,11438,24962,19323
0215000,Powiat oławski,2022,11405,24743,19198
0215000,Powiat oławski,2023,11483,24509,19160
0215000,Powiat oławski,2024,11654,24178,19111
0216000,Powiat polkowicki,2013,13852,18616,15821
0216000,Powiat polkowicki,2014,13419,18742,16090
0216000,Powiat polkowicki,2015,13002,18883,16219
0216000,Powiat polkowicki,2016,12695,18990,16213
0216000,Powiat polkowicki,2017,12284,19104,16087
0216000,Powiat polkowicki,2018,11929,19228,15909
0216000,Powiat polkowicki,2019,11582,19295,15884
0216000,Powiat polkowicki,2020,10369,18930,15678
0216000,Powiat polkowicki,2021,10124,18873,15607
0216000,Powiat polkowicki,2022,10001,18813,15556
0216000,Powiat polkowicki,2023,9978,18663,15601
0216000,Powiat polkowicki,2024,10007,18395,15667
0217000,Powiat strzeliński,2013,9010,12711,11944
0217000,Powiat strzeliński,2014,8681,12892,12054
0217000,Powiat strzeliński,2015,8377,13006,12194
0217000,Powiat strzeliński,2016,8162,13021,12220
0217000,Powiat strzeliński,2017,7853,13184,12137
0217000,Powiat strzeliński,2018,7620,13177,11995
0217000,Powiat strzeliński,2019,7347,13186,11840
0217000,Powiat strzeliński,2020,6553,12983,11621
0217000,Powiat strzeliński,2021,6388,12914,11418
0217000,Powiat strzeliński,2022,6332,12756,11311
0217000,Powiat strzeliński,2023,6346,12622,11218
0217000,Powiat strzeliński,2024,6265,12439,11137
0218000,Powiat średzki,2013,10788,15940,13257
0218000,Powiat średzki,2014,10456,16236,13535
0218000,Powiat średzki,2015,10178,16493,13702
0218000,Powiat średzki,2016,9891,16831,13796
0218000,Powiat średzki,2017,9677,17196,13825
0218000,Powiat średzki,2018,9447,17523,13853
0218000,Powiat średzki,2019,9271,17906,13842
0218000,Powiat średzki,2020,8940,18957,14080
0218000,Powiat średzki,2021,8844,19241,14147
0218000,Powiat średzki,2022,8845,19364,14173
0218000,Powiat średzki,2023,8946,19479,14308
0218000,Powiat średzki,2024,9093,19571,14458
0219000,Powiat świdnicki,2013,31262,46030,45426
0219000,Powiat świdnicki,2014,29854,46706,45773
0219000,Powiat świdnicki,2015,28657,47038,46138
0219000,Powiat świdnicki,2016,27468,47438,45901
0219000,Powiat świdnicki,2017,26420,47703,45319
