powiat_code,powiat_name,year,female_population,male_population,gender_ratio
201000,Powiat bolesławiecki,2013,46344,43962,94.86
201000,Powiat bolesławiecki,2014,46399,43947,94.72
201000,Powiat bolesławiecki,2015,46389,43810,94.44
201000,Powiat bolesławiecki,2016,46397,43783,94.37
201000,Powiat bolesławiecki,2017,46369,43804,94.47
201000,Powiat bolesławiecki,2018,46402,43798,94.39
201000,Powiat bolesławiecki,2019,46364,43739,94.34
201000,Powiat bolesławiecki,2020,45558,42966,94.31
201000,Powiat bolesławiecki,2021,45477,42798,94.11
201000,Powiat bolesławiecki,2022,45266,42656,94.23
201000,Powiat bolesławiecki,2023,45165,42477,94.05
201000,Powiat bolesławiecki,2024,45011,42244,93.85
202000,Powiat dzierżoniowski,2013,54808,49805,90.87
202000,Powiat dzierżoniowski,2014,54538,49537,90.83
202000,Powiat dzierżoniowski,2015,54143,49206,90.88
202000,Powiat dzierżoniowski,2016,53743,48906,91.0
202000,Powiat dzierżoniowski,2017,53444,48633,91.0
202000,Powiat dzierżoniowski,2018,53082,48355,91.09
202000,Powiat dzierżoniowski,2019,52796,48017,90.95
202000,Powiat dzierżoniowski,2020,51484,46501,90.32
202000,Powiat dzierżoniowski,2021,50926,45958,90.24
202000,Powiat dzierżoniowski,2022,50411,45452,90.16
202000,Powiat dzierżoniowski,2023,49837,44903,90.1
202000,Powiat dzierżoniowski,2024,49367,44496,90.13
203000,Powiat głogowski,2013,46323,43979,94.94
203000,Powiat głogowski,2014,46318,43904,94.79
203000,Powiat głogowski,2015,46318,43887,94.75
203000,Powiat głogowski,2016,46207,43782,94.75
203000,Powiat głogowski,2017,46118,43815,95.01
203000,Powiat głogowski,2018,45943,43598,94.9
203000,Powiat głogowski,2019,45749,43353,94.76
203000,Powiat głogowski,2020,44668,42129,94.32
203000,Powiat głogowski,2021,44499,41877,94.11
203000,Powiat głogowski,2022,44152,41537,94.08
203000,Powiat głogowski,2023,43890,41153,93.76
203000,Powiat głogowski,2024,43564,40823,93.71
204000,Powiat górowski,2013,18402,17989,97.76
204000,Powiat górowski,2014,18325,17911,97.74
204000,Powiat górowski,2015,18172,17768,97.78
204000,Powiat górowski,2016,18031,17684,98.08
204000,Powiat górowski,2017,17903,17570,98.14
204000,Powiat górowski,2018,17748,17434,98.23
204000,Powiat górowski,2019,17592,17278,98.22
204000,Powiat górowski,2020,16800,16576,98.67
204000,Powiat górowski,2021,16636,16391,98.53
204000,Powiat górowski,2022,16483,16255,98.62
204000,Powiat górowski,2023,16358,16101,98.43
204000,Powiat górowski,2024,16193,15861,97.95
205000,Powiat jaworski,2013,26516,25554,96.37
205000,Powiat jaworski,2014,26409,25387,96.13
205000,Powiat jaworski,2015,26217,25234,96.25
205000,Powiat jaworski,2016,26108,25068,96.02
205000,Powiat jaworski,2017,25998,24949,95.97
205000,Powiat jaworski,2018,25799,24746,95.92
205000,Powiat jaworski,2019,25543,24573,96.2
205000,Powiat jaworski,2020,24820,23806,95.91
205000,Powiat jaworski,2021,24508,23521,95.97
205000,Powiat jaworski,2022,24285,23299,95.94
205000,Powiat jaworski,2023,24094,23119,95.95
205000,Powiat jaworski,2024,23909,22913,95.83
206000,Powiat karkonoski,2013,33711,31460,93.32
206000,Powiat karkonoski,2014,33576,31393,93.5
206000,Powiat karkonoski,2015,33399,31200,93.42
206000,Powiat karkonoski,2016,33275,31120,93.52
206000,Powiat karkonoski,2017,33169,31009,93.49
206000,Powiat karkonoski,2018,32988,30867,93.57
206000,Powiat karkonoski,2019,32831,30760,93.69
206000,Powiat karkonoski,2020,32054,29830,93.06
206000,Powiat karkonoski,2021,31855,29614,92.96
206000,Powiat karkonoski,2022,31627,29389,92.92
206000,Powiat karkonoski,2023,31309,29129,93.04
206000,Powiat karkonoski,2024,31010,28854,93.05
207000,Powiat kamiennogórski,2013,23022,22017,95.63
207000,Powiat kamiennogórski,2014,22860,21840,95.54
207000,Powiat kamiennogórski,2015,22705,21697,95.56
207000,Powiat kamiennogórski,2016,22650,21612,95.42
207000,Powiat kamiennogórski,2017,22507,21492,95.49
207000,Powiat kamiennogórski,2018,22324,21297,95.4
207000,Powiat kamiennogórski,2019,22099,21140,95.66
207000,Powiat kamiennogórski,2020,21434,20383,95.1
207000,Powiat kamiennogórski,2021,21126,20118,95.23
207000,Powiat kamiennogórski,2022,20890,19896,95.24
207000,Powiat kamiennogórski,2023,20696,19623,94.82
207000,Powiat kamiennogórski,2024,20479,19396,94.71
208000,Powiat kłodzki,2013,85215,79465,93.25
208000,Powiat kłodzki,2014,84671,79001,93.3
