powiat_code,powiat_name,year,total_population
0201000,Powiat bolesławiecki,2013,90306
0201000,Powiat bolesławiecki,2014,90346
0201000,Powiat bolesławiecki,2015,90199
0201000,Powiat bolesławiecki,2016,90180
0201000,Powiat bolesławiecki,2017,90173
0201000,Powiat bolesławiecki,2018,90200
0201000,Powiat bolesławiecki,2019,90103
0201000,Powiat bolesławiecki,2020,88524
0201000,Powiat bolesławiecki,2021,88275
0201000,Powiat bolesławiecki,2022,87922
0201000,Powiat bolesławiecki,2023,87642
0201000,Powiat bolesławiecki,2024,87255
0202000,Powiat dzierżoniowski,2013,104613
0202000,Powiat dzierżoniowski,2014,104075
0202000,Powiat dzierżoniowski,2015,103349
0202000,Powiat dzierżoniowski,2016,102649
0202000,Powiat dzierżoniowski,2017,102077
0202000,Powiat dzierżoniowski,2018,101437
0202000,Powiat dzierżoniowski,2019,100813
0202000,Powiat dzierżoniowski,2020,97985
0202000,Powiat dzierżoniowski,2021,96884
0202000,Powiat dzierżoniowski,2022,95863
0202000,Powiat dzierżoniowski,2023,94740
0202000,Powiat dzierżoniowski,2024,93863
0203000,Powiat głogowski,2013,90302
0203000,Powiat głogowski,2014,90222
0203000,Powiat głogowski,2015,90205
0203000,Powiat głogowski,2016,89989
0203000,Powiat głogowski,2017,89933
0203000,Powiat głogowski,2018,89541
0203000,Powiat głogowski,2019,89102
0203000,Powiat głogowski,2020,86797
0203000,Powiat głogowski,2021,86376
0203000,Powiat głogowski,2022,85689
0203000,Powiat głogowski,2023,85043
0203000,Powiat głogowski,2024,84387
0204000,Powiat górowski,2013,36391
0204000,Powiat górowski,2014,36236
0204000,Powiat górowski,2015,35940
0204000,Powiat górowski,2016,35715
0204000,Powiat górowski,2017,35473
0204000,Powiat górowski,2018,35182
0204000,Powiat górowski,2019,34870
0204000,Powiat górowski,2020,33376
0204000,Powiat górowski,2021,33027
0204000,Powiat górowski,2022,32738
0204000,Powiat górowski,2023,32459
0204000,Powiat górowski,2024,32054
0205000,Powiat jaworski,2013,52070
0205000,Powiat jaworski,2014,51796
0205000,Powiat jaworski,2015,51451
0205000,Powiat jaworski,2016,51176
0205000,Powiat jaworski,2017,50947
0205000,Powiat jaworski,2018,50545
0205000,Powiat jaworski,2019,50116
0205000,Powiat jaworski,2020,48626
0205000,Powiat jaworski,2021,48029
0205000,Powiat jaworski,2022,47584
0205000,Powiat jaworski,2023,47213
0205000,Powiat jaworski,2024,46822
0206000,Powiat karkonoski,2013,65171
0206000,Powiat karkonoski,2014,64969
0206000,Powiat karkonoski,2015,64599
0206000,Powiat karkonoski,2016,64395
0206000,Powiat karkonoski,2017,64178
0206000,Powiat karkonoski,2018,63855
0206000,Powiat karkonoski,2019,63591
0206000,Powiat karkonoski,2020,61884
0206000,Powiat karkonoski,2021,61469
0206000,Powiat karkonoski,2022,61016
0206000,Powiat karkonoski,2023,60438
0206000,Powiat karkonoski,2024,59864
0207000,Powiat kamiennogórski,2013,45039
0207000,Powiat kamiennogórski,2014,44700
0207000,Powiat kamiennogórski,2015,44402
0207000,Powiat kamiennogórski,2016,44262
0207000,Powiat kamiennogórski,2017,43999
0207000,Powiat kamiennogórski,2018,43621
0207000,Powiat kamiennogórski,2019,43239
0207000,Powiat kamiennogórski,2020,41817
0207000,Powiat kamiennogórski,2021,41244
0207000,Powiat kamiennogórski,2022,40786
0207000,Powiat kamiennogórski,2023,40319
0207000,Powiat kamiennogórski,2024,39875
0208000,Powiat kłodzki,2013,164680
0208000,Powiat kłodzki,2014,163672
0208000,Powiat kłodzki,2015,162465
0208000,Powiat kłodzki,2016,161452
0208000,Powiat kłodzki,2017,160465
0208000,Powiat kłodzki,2018,159337
0208000,Powiat kłodzki,2019,157996
0208000,Powiat kłodzki,2020,152651
0208000,Powiat kłodzki,2021,150515
0208000,Powiat kłodzki,2022,148681
0208000,Powiat kłodzki,2023,146952
0208000,Powiat kłodzki,2024,145243
0209000,Powiat legnicki,2013,54869
0209000,Powiat legnicki,2014,55026
0209000,Powiat legnicki,2015,55051
0209000,Powiat legnicki,2016,55182
0209000,Powiat legnicki,2017,55233
0209000,Powiat legnicki,2018,55326
0209000,Powiat legnicki,2019,55166
0209000,Powiat legnicki,2020,55038
0209000,Powiat legnicki,2021,55083
0209000,Powiat legnicki,2022,55032
0209000,Powiat legnicki,2023,55032
0209000,Powiat legnicki,2024,54967
0210000,Powiat lubański,2013,56117
0210000,Powiat lubański,2014,55900
0210000,Powiat lubański,2015,55533
0210000,Powiat lubański,2016,55238
0210000,Powiat lubański,2017,54991
0210000,Powiat lubański,2018,54699
0210000,Powiat lubański,2019,54254
0210000,Powiat lubański,2020,52944
0210000,Powiat lubański,2021,52372
0210000,Powiat lubański,2022,51886
0210000,Powiat lubański,2023,51410
