powiat_code,powiat_name,year,total_population,population_change,population_change_pct
0201000,Powiat bolesławiecki,2013,90306,,
0201000,Powiat bolesławiecki,2014,90346,40.0,0.04
0201000,Powiat bolesławiecki,2015,90199,-147.0,-0.16
0201000,Powiat bolesławiecki,2016,90180,-19.0,-0.02
0201000,Powiat bolesławiecki,2017,90173,-7.0,-0.01
0201000,Powiat bolesławiecki,2018,90200,27.0,0.03
0201000,Powiat bolesławiecki,2019,90103,-97.0,-0.11
0201000,Powiat bolesławiecki,2020,88524,-1579.0,-1.75
0201000,Powiat bolesławiecki,2021,88275,-249.0,-0.28
0201000,Powiat bolesławiecki,2022,87922,-353.0,-0.4
0201000,Powiat bolesławiecki,2023,87642,-280.0,-0.32
0201000,Powiat bolesławiecki,2024,87255,-387.0,-0.44
0202000,Powiat dzierżoniowski,2013,104613,,
0202000,Powiat dzierżoniowski,2014,104075,-538.0,-0.51
0202000,Powiat dzierżoniowski,2015,103349,-726.0,-0.7
0202000,Powiat dzierżoniowski,2016,102649,-700.0,-0.68
0202000,Powiat dzierżoniowski,2017,102077,-572.0,-0.56
0202000,Powiat dzierżoniowski,2018,101437,-640.0,-0.63
0202000,Powiat dzierżoniowski,2019,100813,-624.0,-0.62
0202000,Powiat dzierżoniowski,2020,97985,-2828.0,-2.81
0202000,Powiat dzierżoniowski,2021,96884,-1101.0,-1.12
0202000,Powiat dzierżoniowski,2022,95863,-1021.0,-1.05
0202000,Powiat dzierżoniowski,2023,94740,-1123.0,-1.17
0202000,Powiat dzierżoniowski,2024,93863,-877.0,-0.93
0203000,Powiat głogowski,2013,90302,,
0203000,Powiat głogowski,2014,90222,-80.0,-0.09
0203000,Powiat głogowski,2015,90205,-17.0,-0.02
0203000,Powiat głogowski,2016,89989,-216.0,-0.24
0203000,Powiat głogowski,2017,89933,-56.0,-0.06
0203000,Powiat głogowski,2018,89541,-392.0,-0.44
0203000,Powiat głogowski,2019,89102,-439.0,-0.49
0203000,Powiat głogowski,2020,86797,-2305.0,-2.59
0203000,Powiat głogowski,2021,86376,-421.0,-0.49
0203000,Powiat głogowski,2022,85689,-687.0,-0.8
0203000,Powiat głogowski,2023,85043,-646.0,-0.75
0203000,Powiat głogowski,2024,84387,-656.0,-0.77
0204000,Powiat górowski,2013,36391,,
0204000,Powiat górowski,2014,36236,-155.0,-0.43
0204000,Powiat górowski,2015,35940,-296.0,-0.82
0204000,Powiat górowski,2016,35715,-225.0,-0.63
0204000,Powiat górowski,2017,35473,-242.0,-0.68
0204000,Powiat górowski,2018,35182,-291.0,-0.82
0204000,Powiat górowski,2019,34870,-312.0,-0.89
0204000,Powiat górowski,2020,33376,-1494.0,-4.28
0204000,Powiat górowski,2021,33027,-349.0,-1.05
0204000,Powiat górowski,2022,32738,-289.0,-0.88
0204000,Powiat górowski,2023,32459,-279.0,-0.85
0204000,Powiat górowski,2024,32054,-405.0,-1.25
0205000,Powiat jaworski,2013,52070,,
0205000,Powiat jaworski,2014,51796,-274.0,-0.53
0205000,Powiat jaworski,2015,51451,-345.0,-0.67
0205000,Powiat jaworski,2016,51176,-275.0,-0.53
0205000,Powiat jaworski,2017,50947,-229.0,-0.45
0205000,Powiat jaworski,2018,50545,-402.0,-0.79
0205000,Powiat jaworski,2019,50116,-429.0,-0.85
0205000,Powiat jaworski,2020,48626,-1490.0,-2.97
0205000,Powiat jaworski,2021,48029,-597.0,-1.23
0205000,Powiat jaworski,2022,47584,-445.0,-0.93
0205000,Powiat jaworski,2023,47213,-371.0,-0.78
0205000,Powiat jaworski,2024,46822,-391.0,-0.83
0206000,Powiat karkonoski,2013,65171,,
0206000,Powiat karkonoski,2014,64969,-202.0,-0.31
0206000,Powiat karkonoski,2015,64599,-370.0,-0.57
0206000,Powiat karkonoski,2016,64395,-204.0,-0.32
0206000,Powiat karkonoski,2017,64178,-217.0,-0.34
0206000,Powiat karkonoski,2018,63855,-323.0,-0.5
0206000,Powiat karkonoski,2019,63591,-264.0,-0.41
0206000,Powiat karkonoski,2020,61884,-1707.0,-2.68
0206000,Powiat karkonoski,2021,61469,-415.0,-0.67
0206000,Powiat karkonoski,2022,61016,-453.0,-0.74
0206000,Powiat karkonoski,2023,60438,-578.0,-0.95
