powiat_code,powiat_name,year,total_population,area_km2,population_density
201000,Powiat bolesławiecki,2013,90306,1304,69.25
201000,Powiat bolesławiecki,2014,90346,1304,69.28
201000,Powiat bolesławiecki,2015,90199,1304,69.17
201000,Powiat bolesławiecki,2016,90180,1304,69.16
201000,Powiat bolesławiecki,2017,90173,1304,69.15
201000,Powiat bolesławiecki,2018,90200,1304,69.17
201000,Powiat bolesławiecki,2019,90103,1304,69.1
201000,Powiat bolesławiecki,2020,88524,1304,67.89
201000,Powiat bolesławiecki,2021,88275,1304,67.7
201000,Powiat bolesławiecki,2022,87922,1303,67.48
201000,Powiat bolesławiecki,2023,87642,1303,67.26
201000,Powiat bolesławiecki,2024,87255,1303,66.96
202000,Powiat dzierżoniowski,2013,104613,479,218.4
202000,Powiat dzierżoniowski,2014,104075,479,217.28
202000,Powiat dzierżoniowski,2015,103349,479,215.76
202000,Powiat dzierżoniowski,2016,102649,479,214.3
202000,Powiat dzierżoniowski,2017,102077,479,213.1
202000,Powiat dzierżoniowski,2018,101437,479,211.77
202000,Powiat dzierżoniowski,2019,100813,479,210.47
202000,Powiat dzierżoniowski,2020,97985,479,204.56
202000,Powiat dzierżoniowski,2021,96884,479,202.26
202000,Powiat dzierżoniowski,2022,95863,479,200.13
202000,Powiat dzierżoniowski,2023,94740,479,197.79
202000,Powiat dzierżoniowski,2024,93863,479,195.96
203000,Powiat głogowski,2013,90302,443,203.84
203000,Powiat głogowski,2014,90222,443,203.66
203000,Powiat głogowski,2015,90205,443,203.62
203000,Powiat głogowski,2016,89989,443,203.14
203000,Powiat głogowski,2017,89933,443,203.01
203000,Powiat głogowski,2018,89541,443,202.12
203000,Powiat głogowski,2019,89102,443,201.13
203000,Powiat głogowski,2020,86797,443,195.93
203000,Powiat głogowski,2021,86376,443,194.98
203000,Powiat głogowski,2022,85689,443,193.43
203000,Powiat głogowski,2023,85043,443,191.97
203000,Powiat głogowski,2024,84387,443,190.49
204000,Powiat górowski,2013,36391,738,49.31
204000,Powiat górowski,2014,36236,738,49.1
204000,Powiat górowski,2015,35940,738,48.7
204000,Powiat górowski,2016,35715,738,48.39
204000,Powiat górowski,2017,35473,738,48.07
204000,Powiat górowski,2018,35182,738,47.67
204000,Powiat górowski,2019,34870,738,47.25
204000,Powiat górowski,2020,33376,738,45.22
204000,Powiat górowski,2021,33027,738,44.75
204000,Powiat górowski,2022,32738,738,44.36
204000,Powiat górowski,2023,32459,738,43.98
204000,Powiat górowski,2024,32054,738,43.43
205000,Powiat jaworski,2013,52070,582,89.47
205000,Powiat jaworski,2014,51796,582,89.0
205000,Powiat jaworski,2015,51451,582,88.4
205000,Powiat jaworski,2016,51176,582,87.93
205000,Powiat jaworski,2017,50947,582,87.54
205000,Powiat jaworski,2018,50545,582,86.85
205000,Powiat jaworski,2019,50116,582,86.11
205000,Powiat jaworski,2020,48626,582,83.55
205000,Powiat jaworski,2021,48029,582,82.52
205000,Powiat jaworski,2022,47584,581,81.9
205000,Powiat jaworski,2023,47213,581,81.26
205000,Powiat jaworski,2024,46822,581,80.59
206000,Powiat karkonoski,2013,65171,627,103.94
206000,Powiat karkonoski,2014,64969,627,103.62
206000,Powiat karkonoski,2015,64599,627,103.03
206000,Powiat karkonoski,2016,64395,627,102.7
206000,Powiat karkonoski,2017,64178,627,102.36
206000,Powiat karkonoski,2018,63855,627,101.84
206000,Powiat karkonoski,2019,63591,627,101.42
206000,Powiat karkonoski,2020,61884,627,98.7
206000,Powiat karkonoski,2021,61469,627,98.04
206000,Powiat karkonoski,2022,61016,627,97.31
206000,Powiat karkonoski,2023,60438,627,96.39
206000,Powiat karkonoski,2024,59864,627,95.48
207000,Powiat kamiennogórski,2013,45039,396,113.73
207000,Powiat kamiennogórski,2014,44700,396,112.88
207000,Powiat kamiennogórski,2015,44402,396,112.13
207000,Powiat kamiennogórski,2016,44262,396,111.77
207000,Powiat kamiennogórski,2017,43999,396,111.11
207000,Powiat kamiennogórski,2018,43621,396,110.15
207000,Powiat kamiennogórski,2019,43239,396,109.19
207000,Powiat kamiennogórski,2020,41817,396,105.6
207000,Powiat kamiennogórski,2021,41244,396,104.15
207000,Powiat kamiennogórski,2022,40786,396,102.99
207000,Powiat kamiennogórski,2023,40319,396,101.82
207000,Powiat kamiennogórski,2024,39875,396,100.69
208000,Powiat kłodzki,2013,164680,1642,100.29
208000,Powiat kłodzki,2014,163672,1642,99.68
208000,Powiat kłodzki,2015,162465,1642,98.94
208000,Powiat kłodzki,2016,161452,1642,98.33
208000,Powiat kłodzki,2017,160465,1642,97.73
208000,Powiat kłodzki,2018,159337,1642,97.04
208000,Powiat kłodzki,2019,157996,1642,96.22
208000,Powiat kłodzki,2020,152651,1642,92.97
208000,Powiat kłodzki,2021,150515,1642,91.67
208000,Powiat kłodzki,2022,148681,1643,90.49
208000,Powiat kłodzki,2023,146952,1643,89.44
208000,Powiat kłodzki,2024,145243,1643,88.4
209000,Powiat legnicki,2013,54869,744,73.75
209000,Powiat legnicki,2014,55026,744,73.96
209000,Powiat legnicki,2015,55051,744,73.99
209000,Powiat legnicki,2016,55182,744,74.17
209000,Powiat legnicki,2017,55233,744,74.24
209000,Powiat legnicki,2018,55326,744,74.36
209000,Powiat legnicki,2019,55166,744,74.15
209000,Powiat legnicki,2020,55038,744,73.98
209000,Powiat legnicki,2021,55083,744,74.04
209000,Powiat legnicki,2022,55032,744,73.97
209000,Powiat legnicki,2023,55032,744,73.97
209000,Powiat legnicki,2024,54967,744,73.88
210000,Powiat lubański,2013,56117,428,131.11
210000,Powiat lubański,2014,55900,428,130.61
210000,Powiat lubański,2015,55533,428,129.75
210000,Powiat lubański,2016,55238,428,129.06
210000,Powiat lubański,2017,54991,428,128.48
210000,Powiat lubański,2018,54699,428,127.8
210000,Powiat lubański,2019,54254,428,126.76
210000,Powiat lubański,2020,52944,428,123.7
210000,Powiat lubański,2021,52372,428,122.36
210000,Powiat lubański,2022,51886,428,121.23
210000,Powiat lubański,2023,51410,428,120.12
210000,Powiat lubański,2024,50909,428,118.95
211000,Powiat lubiński,2013,106512,712,149.6
211000,Powiat lubiński,2014,106433,712,149.48
211000,Powiat lubiński,2015,106319,712,149.32
211000,Powiat lubiński,2016,106355,712,149.38
211000,Powiat lubiński,2017,106320,712,149.33
211000,Powiat lubiński,2018,106254,712,149.23
211000,Powiat lubiński,2019,106150,712,149.09
211000,Powiat lubiński,2020,104480,712,146.74
211000,Powiat lubiński,2021,103927,712,145.96
211000,Powiat lubiński,2022,103426,712,145.26
211000,Powiat lubiński,2023,102872,712,144.48
211000,Powiat lubiński,2024,102376,712,143.79
212000,Powiat lwówecki,2013,47317,710,66.64
212000,Powiat lwówecki,2014,47014,710,66.22
212000,Powiat lwówecki,2015,46677,710,65.74
212000,Powiat lwówecki,2016,46527,710,65.53
212000,Powiat lwówecki,2017,46360,710,65.3
212000,Powiat lwówecki,2018,46059,710,64.87
212000,Powiat lwówecki,2019,45925,710,64.68
212000,Powiat lwówecki,2020,44033,710,62.02
212000,Powiat lwówecki,2021,43473,710,61.23
212000,Powiat lwówecki,2022,43157,710,60.78
212000,Powiat lwówecki,2023,42817,710,60.31
212000,Powiat lwówecki,2024,42465,710,59.81
213000,Powiat milicki,2013,37320,715,52.2
