powiat_code,powiat_name,year,unemployment_rate,wage_index
200000,DOLNOŚLĄSKIE,2013,13.1,99.8
200000,DOLNOŚLĄSKIE,2014,10.4,101.0
200000,DOLNOŚLĄSKIE,2015,8.5,101.3
200000,DOLNOŚLĄSKIE,2016,7.2,102.2
200000,DOLNOŚLĄSKIE,2017,5.7,102.8
200000,DOLNOŚLĄSKIE,2018,5.2,102.2
200000,DOLNOŚLĄSKIE,2019,4.6,102.7
200000,DOLNOŚLĄSKIE,2020,5.6,103.1
200000,DOLNOŚLĄSKIE,2021,4.9,104.0
200000,DOLNOŚLĄSKIE,2022,4.5,103.6
200000,DOLNOŚLĄSKIE,2023,4.4,103.4
200000,DOLNOŚLĄSKIE,2024,4.6,102.7
201000,Powiat bolesławiecki,2013,12.6,83.3
201000,Powiat bolesławiecki,2014,8.9,85.5
201000,Powiat bolesławiecki,2015,7.6,85.5
201000,Powiat bolesławiecki,2016,5.7,85.4
201000,Powiat bolesławiecki,2017,4.2,86.2
201000,Powiat bolesławiecki,2018,3.8,87.2
201000,Powiat bolesławiecki,2019,3.8,87.7
201000,Powiat bolesławiecki,2020,5.6,88.5
201000,Powiat bolesławiecki,2021,5.1,91.0
201000,Powiat bolesławiecki,2022,3.1,92.2
201000,Powiat bolesławiecki,2023,2.8,90.5
201000,Powiat bolesławiecki,2024,3.1,91.2
202000,Powiat dzierżoniowski,2013,20.2,81.4
202000,Powiat dzierżoniowski,2014,15.8,82.4
202000,Powiat dzierżoniowski,2015,11.9,82.1
202000,Powiat dzierżoniowski,2016,10.0,83.0
202000,Powiat dzierżoniowski,2017,7.4,84.5
202000,Powiat dzierżoniowski,2018,6.1,83.3
202000,Powiat dzierżoniowski,2019,5.2,86.5
202000,Powiat dzierżoniowski,2020,6.8,84.9
202000,Powiat dzierżoniowski,2021,5.5,85.5
202000,Powiat dzierżoniowski,2022,5.2,85.4
202000,Powiat dzierżoniowski,2023,5.6,85.0
202000,Powiat dzierżoniowski,2024,6.1,86.1
203000,Powiat głogowski,2013,14.9,85.6
203000,Powiat głogowski,2014,13.6,86.4
203000,Powiat głogowski,2015,12.5,87.1
203000,Powiat głogowski,2016,10.5,86.8
203000,Powiat głogowski,2017,9.1,86.5
203000,Powiat głogowski,2018,8.9,84.3
203000,Powiat głogowski,2019,7.1,85.5
203000,Powiat głogowski,2020,7.8,86.2
203000,Powiat głogowski,2021,7.7,86.2
203000,Powiat głogowski,2022,6.4,87.3
203000,Powiat głogowski,2023,6.5,87.7
203000,Powiat głogowski,2024,6.6,90.0
204000,Powiat górowski,2013,28.3,79.1
204000,Powiat górowski,2014,23.4,78.5
204000,Powiat górowski,2015,22.2,78.1
204000,Powiat górowski,2016,18.5,78.9
