powiat_code,powiat_name,year,unemployment_rate
200000,DOLNOŚLĄSKIE,2013,13.1
200000,DOLNOŚLĄSKIE,2014,10.4
200000,DOLNOŚLĄSKIE,2015,8.5
200000,DOLNOŚLĄSKIE,2016,7.2
200000,DOLNOŚLĄSKIE,2017,5.7
200000,DOLNOŚLĄSKIE,2018,5.2
200000,DOLNOŚLĄSKIE,2019,4.6
200000,DOLNOŚLĄSKIE,2020,5.6
200000,DOLNOŚLĄSKIE,2021,4.9
200000,DOLNOŚLĄSKIE,2022,4.5
200000,DOLNOŚLĄSKIE,2023,4.4
200000,DOLNOŚLĄSKIE,2024,4.6
201000,Powiat bolesławiecki,2013,12.6
201000,Powiat bolesławiecki,2014,8.9
201000,Powiat bolesławiecki,2015,7.6
201000,Powiat bolesławiecki,2016,5.7
201000,Powiat bolesławiecki,2017,4.2
201000,Powiat bolesławiecki,2018,3.8
201000,Powiat bolesławiecki,2019,3.8
201000,Powiat bolesławiecki,2020,5.6
201000,Powiat bolesławiecki,2021,5.1
201000,Powiat bolesławiecki,2022,3.1
201000,Powiat bolesławiecki,2023,2.8
201000,Powiat bolesławiecki,2024,3.1
202000,Powiat dzierżoniowski,2013,20.2
202000,Powiat dzierżoniowski,2014,15.8
202000,Powiat dzierżoniowski,2015,11.9
202000,Powiat dzierżoniowski,2016,10.0
202000,Powiat dzierżoniowski,2017,7.4
202000,Powiat dzierżoniowski,2018,6.1
202000,Powiat dzierżoniowski,2019,5.2
202000,Powiat dzierżoniowski,2020,6.8
202000,Powiat dzierżoniowski,2021,5.5
202000,Powiat dzierżoniowski,2022,5.2
202000,Powiat dzierżoniowski,2023,5.6
202000,Powiat dzierżoniowski,2024,6.1
203000,Powiat głogowski,2013,14.9
203000,Powiat głogowski,2014,13.6
203000,Powiat głogowski,2015,12.5
203000,Powiat głogowski,2016,10.5
203000,Powiat głogowski,2017,9.1
203000,Powiat głogowski,2018,8.9
203000,Powiat głogowski,2019,7.1
203000,Powiat głogowski,2020,7.8
203000,Powiat głogowski,2021,7.7
203000,Powiat głogowski,2022,6.4
203000,Powiat głogowski,2023,6.5
203000,Powiat głogowski,2024,6.6
204000,Powiat górowski,2013,28.3
204000,Powiat górowski,2014,23.4
204000,Powiat górowski,2015,22.2
204000,Powiat górowski,2016,18.5
204000,Powiat górowski,2017,16.5
204000,Powiat górowski,2018,15.3
204000,Powiat górowski,2019,14.2
204000,Powiat górowski,2020,15.7
204000,Powiat górowski,2021,18.3
204000,Powiat górowski,2022,13.8
204000,Powiat górowski,2023,14.2
204000,Powiat górowski,2024,14.3
205000,Powiat jaworski,2013,24.3
205000,Powiat jaworski,2014,18.6
205000,Powiat jaworski,2015,17.3
205000,Powiat jaworski,2016,15.8
205000,Powiat jaworski,2017,13.5
205000,Powiat jaworski,2018,12.4
205000,Powiat jaworski,2019,10.6
205000,Powiat jaworski,2020,11.3
205000,Powiat jaworski,2021,10.8
205000,Powiat jaworski,2022,10.2
205000,Powiat jaworski,2023,9.7
205000,Powiat jaworski,2024,9.8
206000,Powiat karkonoski,2013,19.8
206000,Powiat karkonoski,2014,15.7
206000,Powiat karkonoski,2015,12.9
206000,Powiat karkonoski,2016,11.4
206000,Powiat karkonoski,2017,9.2
206000,Powiat karkonoski,2018,8.9
206000,Powiat karkonoski,2019,8.2
206000,Powiat karkonoski,2020,10.1
206000,Powiat karkonoski,2021,10.5
206000,Powiat karkonoski,2022,8.5
206000,Powiat karkonoski,2023,8.5
206000,Powiat karkonoski,2024,8.5
207000,Powiat kamiennogórski,2013,20.5
207000,Powiat kamiennogórski,2014,15.6
207000,Powiat kamiennogórski,2015,11.6
207000,Powiat kamiennogórski,2016,10.3
207000,Powiat kamiennogórski,2017,7.5
207000,Powiat kamiennogórski,2018,6.2
