region_code,region_name,year,wage_index
0000000,POLSKA,2013,100.0
0000000,POLSKA,2014,100.0
0000000,POLSKA,2015,100.0
0000000,POLSKA,2016,100.0
0000000,POLSKA,2017,100.0
0000000,POLSKA,2018,100.0
0000000,POLSKA,2019,100.0
0000000,POLSKA,2020,100.0
0000000,POLSKA,2021,100.0
0000000,POLSKA,2022,100.0
0000000,POLSKA,2023,100.0
0000000,POLSKA,2024,100.0
0200000,DOLNOŚLĄSKIE,2013,99.8
0200000,DOLNOŚLĄSKIE,2014,101.0
0200000,DOLNOŚLĄSKIE,2015,101.3
0200000,DOLNOŚLĄSKIE,2016,102.2
0200000,DOLNOŚLĄSKIE,2017,102.8
0200000,DOLNOŚLĄSKIE,2018,102.2
0200000,DOLNOŚLĄSKIE,2019,102.7
0200000,DOLNOŚLĄSKIE,2020,103.1
0200000,DOLNOŚLĄSKIE,2021,104.0
0200000,DOLNOŚLĄSKIE,2022,103.6
0200000,DOLNOŚLĄSKIE,2023,103.4
0200000,DOLNOŚLĄSKIE,2024,102.7
0201000,Powiat bolesławiecki,2013,83.3
0201000,Powiat bolesławiecki,2014,85.5
0201000,Powiat bolesławiecki,2015,85.5
0201000,Powiat bolesławiecki,2016,85.4
0201000,Powiat bolesławiecki,2017,86.2
0201000,Powiat bolesławiecki,2018,87.2
0201000,Powiat bolesławiecki,2019,87.7
0201000,Powiat bolesławiecki,2020,88.5
0201000,Powiat bolesławiecki,2021,91.0
0201000,Powiat bolesławiecki,2022,92.2
0201000,Powiat bolesławiecki,2023,90.5
0201000,Powiat bolesławiecki,2024,91.2
0202000,Powiat dzierżoniowski,2013,81.4
0202000,Powiat dzierżoniowski,2014,82.4
0202000,Powiat dzierżoniowski,2015,82.1
0202000,Powiat dzierżoniowski,2016,83.0
0202000,Powiat dzierżoniowski,2017,84.5
0202000,Powiat dzierżoniowski,2018,83.3
0202000,Powiat dzierżoniowski,2019,86.5
0202000,Powiat dzierżoniowski,2020,84.9
0202000,Powiat dzierżoniowski,2021,85.5
0202000,Powiat dzierżoniowski,2022,85.4
0202000,Powiat dzierżoniowski,2023,85.0
0202000,Powiat dzierżoniowski,2024,86.1
0203000,Powiat głogowski,2013,85.6
